evidence_id,disease_id,drug_name,normalized_drug_name,canonical_drug_id,match_status
imev_dc49ccadb43fa9e4,HNSC,Tanespimycin,tanespimycin,cdrug_e33512555752f796,matched
imev_626256235633a0cf,HNSC,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_8a9173f4d44377a8,HNSC,TW 37,tw 37,cdrug_9e64de7415bb3254,matched
imev_a7e77faa108c1b25,HNSC,Bortezomib,bortezomib,cdrug_5b0d446d35d3790d,matched
imev_a86daffaa6b19ee8,HNSC,Dasatinib,dasatinib,cdrug_7d828b8ad8476d1f,matched
imev_505714cf62311855,HNSC,MK-1775,mk-1775,cdrug_a0f92608891f8025,matched
imev_a438114fc7e20c53,HNSC,Buparlisib,buparlisib,cdrug_e6882f20c467ce5f,matched
imev_251fa0970a78b35c,HNSC,Irinotecan,irinotecan,cdrug_da0375af747f9b98,matched
imev_cfdbfee0f0f0d3c3,HNSC,SN-38,sn-38,cdrug_d82e10aee750f670,matched
imev_086b7f82cfc23929,HNSC,Afatinib,afatinib,cdrug_b211aef3f5543386,matched
imev_1b31f8e746afc17e,HNSC,Camptothecin,camptothecin,cdrug_a286fdd293b9be53,matched
imev_579b60234e36aad2,HNSC,Romidepsin,romidepsin,cdrug_2e9ab8a291ff1bc8,matched
imev_5c36301b0590b8f0,HNSC,BI-2536,bi-2536,cdrug_5e43b24a58c005d7,matched
imev_1907562418e82ae0,HNSC,Trametinib,trametinib,cdrug_18e3cf278c38ce2a,matched
imev_2d10136ad1a01826,HNSC,Talazoparib,talazoparib,cdrug_ec05f6bf5cc73f6e,matched
imev_6655160d077f1d68,HNSC,Foretinib,foretinib,cdrug_ef43b4351b3144ee,matched
imev_147b907572a959b3,HNSC,Ribociclib,ribociclib,cdrug_e642845b7af9f923,matched
imev_8f36c7bbcf5a9328,HNSC,MK-2206,mk-2206,cdrug_d464ce63544cc204,matched
imev_c60a98851fc5e677,HNSC,Elesclomol,elesclomol,cdrug_52692989966fe3dc,matched
imev_51b667a77df0b450,HNSC,Entinostat,entinostat,cdrug_58450c4db13a14e1,matched
imev_361f8ae6acd1504c,HNSC,Lapatinib,lapatinib,cdrug_d6afb6f031e7fe30,matched
imev_41bc10aad582beaa,HNSC,Alisertib,alisertib,cdrug_1ac4a2d6c19d68f5,matched
imev_3bf8a622420d680f,HNSC,Palbociclib,palbociclib,cdrug_a54fa6b388237c1c,matched
imev_51d5f9f4f321d2ad,HNSC,MG-132,mg-132,cdrug_371d0df931c65f11,matched
imev_0bbbf91b525a9986,HNSC,Uprosertib,uprosertib,cdrug_6a5a5a0a0c643307,matched
imev_8be87a87f170cfe0,HNSC,Gefitinib,gefitinib,cdrug_6fae7753ea49d2b0,matched
imev_b7f989556c5d834e,HNSC,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_ae3fdad2705ddde7,HNSC,Methotrexate,methotrexate,cdrug_eee02d6dc017f95a,matched
imev_d0f7030d6984cf6e,HNSC,Temsirolimus,temsirolimus,cdrug_ec25ee06790a07e7,matched
imev_606f630d8218e976,HNSC,Topotecan,topotecan,cdrug_c40413853cfa1088,matched
imev_d623c75564ab88e6,HNSC,Tanespimycin,tanespimycin,cdrug_e33512555752f796,matched
imev_f2bc36ea51dd96ef,HNSC,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_69f31446fe7bec1f,HNSC,TW 37,tw 37,cdrug_9e64de7415bb3254,matched
imev_985c50b34ba609d8,HNSC,Bortezomib,bortezomib,cdrug_5b0d446d35d3790d,matched
imev_28cc7a0962ef60c3,HNSC,Dasatinib,dasatinib,cdrug_7d828b8ad8476d1f,matched
imev_cd350cd617395a5d,HNSC,MK-1775,mk-1775,cdrug_a0f92608891f8025,matched
imev_27405ecc1df989d6,IPF,Ruxolitinib,ruxolitinib,cdrug_6c95cca9e9b8fc23,matched
imev_3523cce7d37f07ed,IPF,Tofacitinib,tofacitinib,cdrug_5a6ce189f111e47c,matched
imev_72f485016846bb67,IPF,Nintedanib,nintedanib,cdrug_ea451b022f6ed79c,matched
imev_db174baa92e8925b,IPF,AT-9283,at-9283,cdrug_fd8b3b58802cb6f2,matched
imev_f97ebb1277a7bfc2,IPF,Pazopanib,pazopanib,cdrug_14bc3bba5c9315c4,matched
imev_7d35d67f07341179,IPF,Sorafenib,sorafenib,cdrug_ceaf5c410c5875aa,matched
imev_7f6e450aeb220abf,IPF,Ponatinib,ponatinib,cdrug_a49713e61b9488b9,matched
imev_0fee0ec37717699e,IPF,Sunitinib,sunitinib,cdrug_7d4a9d4ce4a3d480,matched
imev_4275259c9c0cc6a1,LUNG,Dactinomycin,dactinomycin,cdrug_7e79edcdee91cafc,matched
imev_244b08af8afeabe8,LUNG,Dactinomycin,dactinomycin,cdrug_7e79edcdee91cafc,matched
imev_1f69b40f9892cb3d,LUNG,Dactinomycin,dactinomycin,cdrug_7e79edcdee91cafc,matched
imev_b4f1c7db93b11e94,LUNG,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_826b7c15e46a2c62,LUNG,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_7fbebff7797841f7,LUNG,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_69a5c7c637835703,LUNG,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_782ab1a34b957c78,LUNG,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_9b851be65f7d1794,LUNG,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_ef7712d5a5a5ad86,LUNG,Teniposide,teniposide,cdrug_edd483796693a02f,matched
imev_9ca60d59ac1fa2f1,LUNG,Teniposide,teniposide,cdrug_edd483796693a02f,matched
imev_6562cf382bc883c0,LUNG,Teniposide,teniposide,cdrug_edd483796693a02f,matched
imev_7404187618480944,LUNG,Bleomycin (50 uM),bleomycin,cdrug_c8c9b4017be1244b,matched
imev_fdb9ebf1e6b92bb3,LUNG,Bleomycin (50 uM),bleomycin,cdrug_c8c9b4017be1244b,matched
imev_90fcaabe35449a82,LUNG,Bleomycin (50 uM),bleomycin,cdrug_c8c9b4017be1244b,matched
imev_1407445467a76855,LUNG,Methotrexate,methotrexate,cdrug_eee02d6dc017f95a,matched
imev_7006a44cf16fe0bb,LUNG,Methotrexate,methotrexate,cdrug_eee02d6dc017f95a,matched
imev_cfd18d05557bee96,LUNG,Methotrexate,methotrexate,cdrug_eee02d6dc017f95a,matched
imev_5e85d7c3083fe7bd,Liver,Bleomycin (50 uM),bleomycin,cdrug_c8c9b4017be1244b,matched
imev_cd470871accd6f94,Liver,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_09c3ad489045368d,Liver,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_6b9bff8ee5511343,Liver,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_e1c61e8dbabebf2a,Liver,Topotecan,topotecan,cdrug_c40413853cfa1088,matched
imev_558d263a2ac14487,Liver,Vinblastine,vinblastine,cdrug_f8909ca4d8abdc96,matched
imev_e213e37e32194e7b,Liver,Camptothecin,camptothecin,cdrug_a286fdd293b9be53,matched
imev_e2dd082587c7b42f,Liver,Irinotecan,irinotecan,cdrug_da0375af747f9b98,matched
imev_1c425300bc99ce80,Liver,Tozasertib,tozasertib,cdrug_32e12f4a864d093b,matched
imev_9b6884f5eedf8443,Liver,Vinorelbine,vinorelbine,cdrug_b927e4cdcac90f13,matched
imev_ab5c023826473e69,PAH,VARDENAFIL,vardenafil,cdrug_8057512843ccee22,matched
imev_b9acf12a81e71ca1,PAH,SILDENAFIL,sildenafil,cdrug_62478e2e0df12fb4,matched
imev_3c7e22b79fa6b88e,PAH,AMBRISENTAN,ambrisentan,cdrug_dcbd986d79b579e6,matched
imev_b6520294c094a48a,PAH,MACITENTAN,macitentan,cdrug_b033da73883a15bf,matched
imev_75ca0111eb7b5902,PAH,TADALAFIL,tadalafil,cdrug_34b98cc5fbbbb5da,matched
imev_a92c1d4e13af5327,PAH,BOSENTAN,bosentan,cdrug_3ea906f99daca16c,matched
imev_a7e07f486618b75e,PAH,unnamed lead (CHEMBL304460),unnamed lead (chembl304460),cdrug_b54eff7903acd6dd,evidence_only
imev_bc3c7faad33a03e9,PAH,EPOPROSTENOL,epoprostenol,cdrug_2ebf6143a4e9c068,matched
imev_b8fb15458907e33b,PAH,ILOPROST,iloprost,cdrug_73f3443c4442bcc0,matched
imev_f302e93a36e73d6f,PAH,SELEXIPAG,selexipag,cdrug_31e511f6bf320f2c,matched
imev_1d9c42863cd193dc,PAH,ATRASENTAN,atrasentan,cdrug_5e0c687278b12bfc,matched
imev_4899343e1aad6bf7,PDAC,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_f21cb4f906afc44b,PDAC,Topotecan,topotecan,cdrug_c40413853cfa1088,matched
imev_e16264ca597d7ad7,PDAC,Vinblastine,vinblastine,cdrug_f8909ca4d8abdc96,matched
imev_a6cc5493871617ed,PDAC,Vinorelbine,vinorelbine,cdrug_b927e4cdcac90f13,matched
imev_e1fff999b86a6b14,PDAC,Staurosporine,staurosporine,cdrug_66e7da8131e061dc,matched
imev_012ab437b4b1cc75,PDAC,Selumetinib,selumetinib,cdrug_a7bbf7d59d42b1d0,matched
imev_b7d400856fd911a5,PDAC,SN-38,sn-38,cdrug_d82e10aee750f670,matched
imev_8c0144273fab3fe3,PDAC,Temsirolimus,temsirolimus,cdrug_ec25ee06790a07e7,matched
imev_101937a0ad6eb1c4,PDAC,Camptothecin,camptothecin,cdrug_a286fdd293b9be53,matched
imev_1e3dd2847ceadc2f,PDAC,MK-1775,mk-1775,cdrug_a0f92608891f8025,matched
imev_3e7b99bbcd716613,PDAC,Dabrafenib,dabrafenib,cdrug_a5becdc6d434f216,matched
imev_0c7f6f1a6f2ce419,PDAC,Dactolisib,dactolisib,cdrug_f45eb6a56f3dd23b,matched
imev_0e5a1e6750d94f92,PDAC,Bosutinib,bosutinib,cdrug_930e9d16bfde574a,matched
imev_7607bc664a2a5195,PDAC,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_1c27faf184d024de,PDAC,MG-132,mg-132,cdrug_371d0df931c65f11,matched
imev_abdd97ec2afbec7e,PDAC,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_51a9f7e2adc848f6,PDAC,Mitoxantrone,mitoxantrone,cdrug_3de95f54a079fa92,matched
imev_091d625162b4e472,PDAC,Lestaurtinib,lestaurtinib,cdrug_5d6b2e1a477d01ae,matched
imev_84fe336d6d45f3eb,PDAC,OSI-027,osi-027,cdrug_b322f758af23765d,matched
imev_2e10430d428da9a0,PDAC,Bortezomib,bortezomib,cdrug_5b0d446d35d3790d,matched
imev_fc7dabdee47e9130,PDAC,BI-2536,bi-2536,cdrug_5e43b24a58c005d7,matched
imev_7adc3af3435c4cc8,PDAC,BMS-345541,bms-345541,cdrug_1f309e1d1aaae0f9,matched
imev_b3def510d078ee83,PDAC,AZD5438,azd5438,cdrug_19bfedb68dfcc6d9,matched
imev_e71878cc46634daa,PDAC,AZD8055,azd8055,cdrug_258a26e1e68187f5,matched
imev_c10f8482bf0fe7fd,PDAC,Cytarabine,cytarabine,cdrug_665990480f4d2502,matched
imev_530a57e5716da8d8,PDAC,BMS-536924,bms-536924,cdrug_209ac767f05cbe80,matched
imev_68d93c2634e6b3c7,PDAC,5-azacytidine,5-azacytidine,cdrug_67fc3a0622149415,matched
imev_1427fee2bf4d0464,PDAC,Pictilisib,pictilisib,cdrug_8edbdc9c5d4a7174,matched
imev_976eb8431428b65f,PDAC,Dactinomycin,dactinomycin,cdrug_7e79edcdee91cafc,matched
imev_ab4d9a599181e69f,PDAC,Teniposide,teniposide,cdrug_edd483796693a02f,matched
imev_2be434da18f3573c,PDAC,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_fd9e11d1fe4f62fe,PDAC,Topotecan,topotecan,cdrug_c40413853cfa1088,matched
imev_98ce5b893d3525cf,PDAC,Vinblastine,vinblastine,cdrug_f8909ca4d8abdc96,matched
imev_adf0183fdb1bf07a,PDAC,Vinorelbine,vinorelbine,cdrug_b927e4cdcac90f13,matched
imev_0c2adec84b690c0b,PDAC,Staurosporine,staurosporine,cdrug_66e7da8131e061dc,matched
imev_28aa42ba45419210,PDAC,Selumetinib,selumetinib,cdrug_a7bbf7d59d42b1d0,matched
imev_97280061a1b978fb,PDAC,SN-38,sn-38,cdrug_d82e10aee750f670,matched
imev_6304ba9077505ff2,PDAC,Temsirolimus,temsirolimus,cdrug_ec25ee06790a07e7,matched
imev_693d55118d484190,PDAC,Camptothecin,camptothecin,cdrug_a286fdd293b9be53,matched
imev_6cca6827ce438f03,PDAC,MK-1775,mk-1775,cdrug_a0f92608891f8025,matched
imev_7638cee30df4b136,PDAC,Dabrafenib,dabrafenib,cdrug_a5becdc6d434f216,matched
imev_fc6b0213d55d4c0d,PDAC,Dactolisib,dactolisib,cdrug_f45eb6a56f3dd23b,matched
imev_a77917f940fe3388,PDAC,Bosutinib,bosutinib,cdrug_930e9d16bfde574a,matched
imev_81f21cc36f748599,PDAC,Docetaxel,docetaxel,cdrug_61a5e8e07ce664d1,matched
imev_13d978a59fb07ba1,PDAC,MG-132,mg-132,cdrug_371d0df931c65f11,matched
imev_75ef9b98979ae2c7,PDAC,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_abf5230138195103,PDAC,Mitoxantrone,mitoxantrone,cdrug_3de95f54a079fa92,matched
imev_330ba604834ce5ce,PDAC,Lestaurtinib,lestaurtinib,cdrug_5d6b2e1a477d01ae,matched
imev_ead65d2a397e5207,PDAC,OSI-027,osi-027,cdrug_b322f758af23765d,matched
imev_b549dd841d0578e8,PDAC,Bortezomib,bortezomib,cdrug_5b0d446d35d3790d,matched
imev_0662859b5c54d63e,PDAC,BI-2536,bi-2536,cdrug_5e43b24a58c005d7,matched
imev_d2c76e91891fd107,PDAC,BMS-345541,bms-345541,cdrug_1f309e1d1aaae0f9,matched
imev_925dfa4b57e76be8,PDAC,AZD5438,azd5438,cdrug_19bfedb68dfcc6d9,matched
imev_d08926ace201c282,PDAC,AZD8055,azd8055,cdrug_258a26e1e68187f5,matched
imev_ccefbd0cb622f27e,PDAC,Cytarabine,cytarabine,cdrug_665990480f4d2502,matched
imev_8bac0cc073204226,PDAC,BMS-536924,bms-536924,cdrug_209ac767f05cbe80,matched
imev_713c14972360a556,PDAC,5-azacytidine,5-azacytidine,cdrug_67fc3a0622149415,matched
imev_9154287ba0a5f758,PDAC,Pictilisib,pictilisib,cdrug_8edbdc9c5d4a7174,matched
imev_df2577b3a92f0012,PDAC,Dactinomycin,dactinomycin,cdrug_7e79edcdee91cafc,matched
imev_2101d77d0c3e6f58,PDAC,Teniposide,teniposide,cdrug_edd483796693a02f,matched
imev_f75198b4df20bab3,Psoriasis,RUXOLITINIB,ruxolitinib,cdrug_6c95cca9e9b8fc23,matched
imev_37915b6ff33c0160,Psoriasis,PICLAMILAST,piclamilast,cdrug_9373a673e47eb859,matched
imev_4c3cb2a91f5b0567,Psoriasis,STAUROSPORINE,staurosporine,cdrug_66e7da8131e061dc,matched
imev_70e52d27d550c788,Psoriasis,ABIVERTINIB,abivertinib,cdrug_ada9a241625f20a0,matched
imev_d46b9835f7895806,Psoriasis,ROFLUMILAST,roflumilast,cdrug_c3144dbb448019d0,matched
imev_a1cc75828ad6fce7,Psoriasis,BMS-986202,bms-986202,cdrug_1b002a0118c221e9,matched
imev_07416c11ec2f4fbf,Psoriasis,AZD-1480,azd-1480,cdrug_f80a574bcccb0323,matched
imev_3cc5e1adb8c09328,Psoriasis,DEUCRAVACITINIB,deucravacitinib,cdrug_9d0dd68c5d51cf92,matched
imev_41c672771f45091f,Psoriasis,TOFACITINIB,tofacitinib,cdrug_5a6ce189f111e47c,matched
imev_a6f28a7d996cc4e0,Psoriasis,NS-018,ns-018,cdrug_4a29d26f8861fbe6,matched
imev_344d23a7b4e6f8a2,Psoriasis,RITLECITINIB,ritlecitinib,cdrug_b5ca35ac2b9b34ae,matched
imev_5e10492886d7325a,Psoriasis,UK-500001,uk-500001,cdrug_68e82574589d0333,matched
imev_9608cc294cbda497,Psoriasis,ATINVICITINIB,atinvicitinib,cdrug_0abcecf22edf1da7,matched
imev_1fd0ca30c6d98fec,Psoriasis,CERDULATINIB,cerdulatinib,cdrug_7d39d8c9b73946a3,matched
imev_dd0e4e699c4e756b,Psoriasis,LONDAMOCITINIB,londamocitinib,cdrug_f58fdfe1697da1c9,matched
imev_fe36d5e2410bd9d5,Psoriasis,IBERDOMIDE,iberdomide,cdrug_e31f8ab133e9cdba,matched
imev_4605f538c1970622,Psoriasis,BARICITINIB,baricitinib,cdrug_48c33381342f928d,matched
imev_761efb6e29a166b0,Psoriasis,PEFICITINIB,peficitinib,cdrug_86683458b87a205d,matched
imev_78c2c0ee013a388a,Psoriasis,FEDRATINIB,fedratinib,cdrug_575c6385c524f680,matched
imev_13a796958e41071f,Psoriasis,UPADACITINIB,upadacitinib,cdrug_5327ddd6a8dfd4ff,matched
imev_c71a7b376a4ca7d7,Psoriasis,LESTAURTINIB,lestaurtinib,cdrug_5d6b2e1a477d01ae,matched
imev_1f55090039a2eaf3,Psoriasis,JNJ-7706621,jnj-7706621,cdrug_93ce5173efc14556,evidence_only
imev_12c784737bb70df5,Psoriasis,PACRITINIB,pacritinib,cdrug_53c80a3c0d50123d,matched
imev_1c09804f6b9216d3,Psoriasis,AT-9283,at-9283,cdrug_fd8b3b58802cb6f2,matched
