evidence_id,disease_id,cluster_id,drug_id,drug_name,rank,tier,target,target_pathway,evidence_text,source_file,source_row_number,raw_json
imev_24a56cefe10450d5,Colon,imcluster_51dd70c5fbc6ec1a,1088,Irinotecan,24,Tier1,TOP1,DNA replication,Irinotecan may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,1,"{""admet_verdict"": ""PASS"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1088"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier1"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Irinotecan"", ""hypothesis"": ""Irinotecan may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""3"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""24"", ""safety_score"": ""6.4"", ""target"": ""TOP1"", ""target_pathway"": ""DNA replication""}"
imev_de0792b63b8cb5cd,Colon,imcluster_51dd70c5fbc6ec1a,1004,Vinblastine,3,Tier2,Microtubule destabiliser,Mitosis,Vinblastine may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,2,"{""admet_verdict"": ""PASS"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1004"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Vinblastine"", ""hypothesis"": ""Vinblastine may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""2"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""3"", ""safety_score"": ""7.0"", ""target"": ""Microtubule destabiliser"", ""target_pathway"": ""Mitosis""}"
imev_38acf875e39fb39e,Colon,imcluster_51dd70c5fbc6ec1a,2048,Vinorelbine,4,Tier2,Microtubule destabiliser,Mitosis,Vinorelbine may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,3,"{""admet_verdict"": ""PASS"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""2048"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Vinorelbine"", ""hypothesis"": ""Vinorelbine may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""2"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""4"", ""safety_score"": ""7.25"", ""target"": ""Microtubule destabiliser"", ""target_pathway"": ""Mitosis""}"
imev_310ff2beb4e8104c,Colon,imcluster_51dd70c5fbc6ec1a,1016,Temsirolimus,7,Tier2,MTOR,PI3K/MTOR signaling,Temsirolimus may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via MSI.,Colon_drug_linkage.md,4,"{""admet_verdict"": ""WARNING"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1016"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Temsirolimus"", ""hypothesis"": ""Temsirolimus may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via MSI."", ""match_score"": ""2"", ""matched_keywords"": ""MSI"", ""rank"": ""7"", ""safety_score"": ""5.5"", ""target"": ""MTOR"", ""target_pathway"": ""PI3K/MTOR signaling""}"
imev_7f6c98af0fa196cc,Colon,imcluster_51dd70c5fbc6ec1a,1003,Camptothecin,11,Tier2,TOP1,DNA replication,Camptothecin may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,5,"{""admet_verdict"": ""PASS"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1003"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Camptothecin"", ""hypothesis"": ""Camptothecin may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""2"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""11"", ""safety_score"": ""6.25"", ""target"": ""TOP1"", ""target_pathway"": ""DNA replication""}"
imev_32f6492cd929918d,Colon,imcluster_51dd70c5fbc6ec1a,1808,Topotecan,27,Tier2,TOP1,DNA replication,Topotecan may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,6,"{""admet_verdict"": ""PASS"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1808"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Topotecan"", ""hypothesis"": ""Topotecan may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""2"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""27"", ""safety_score"": ""7.5"", ""target"": ""TOP1"", ""target_pathway"": ""DNA replication""}"
imev_2201397b36ec4b2b,Colon,imcluster_51dd70c5fbc6ec1a,1080,Paclitaxel,2,Tier2,Microtubule stabiliser,Mitosis,Paclitaxel may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,7,"{""admet_verdict"": ""WARNING"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1080"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Paclitaxel"", ""hypothesis"": ""Paclitaxel may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""1"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""2"", ""safety_score"": ""4.25"", ""target"": ""Microtubule stabiliser"", ""target_pathway"": ""Mitosis""}"
imev_356033c99a7bce52,Colon,imcluster_51dd70c5fbc6ec1a,1007,Docetaxel,5,Tier2,Microtubule stabiliser,Mitosis,Docetaxel may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,8,"{""admet_verdict"": ""WARNING"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1007"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Docetaxel"", ""hypothesis"": ""Docetaxel may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""1"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""5"", ""safety_score"": ""4.25"", ""target"": ""Microtubule stabiliser"", ""target_pathway"": ""Mitosis""}"
imev_17b2909c5d9ae248,Colon,imcluster_51dd70c5fbc6ec1a,1809,Teniposide,6,Tier2,,DNA replication,Teniposide may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,9,"{""admet_verdict"": ""FAIL"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1809"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Teniposide"", ""hypothesis"": ""Teniposide may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""1"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""6"", ""safety_score"": ""3.15"", ""target"": """", ""target_pathway"": ""DNA replication""}"
imev_6ceebb12905812b4,Colon,imcluster_51dd70c5fbc6ec1a,1084,Rapamycin,8,Tier2,MTORC1,PI3K/MTOR signaling,Rapamycin may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,10,"{""admet_verdict"": ""WARNING"", ""biology_hypothesis"": ""MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy"", ""canonical_drug_id"": ""1084"", ""cluster"": ""0"", ""cluster_label"": ""MSI/MMR-enriched CRC-like cluster"", ""crc_4tier"": ""Tier2"", ""dominant_drivers"": ""TP53;APC;KRAS"", ""drug_name"": ""Rapamycin"", ""hypothesis"": ""Rapamycin may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context."", ""match_score"": ""1"", ""matched_keywords"": ""tier/admet/context"", ""rank"": ""8"", ""safety_score"": ""5.5"", ""target"": ""MTORC1"", ""target_pathway"": ""PI3K/MTOR signaling""}"
