alias_id,canonical_drug_id,source_drug_id,alias_name,normalized_alias,alias_type
dalias_b03a38a4bc3af2e5,cdrug_e642845b7af9f923,1632,Ribociclib,ribociclib,source_drug
dalias_ecd4e862929e2bcd,cdrug_e6882f20c467ce5f,1873,Buparlisib,buparlisib,source_drug
dalias_7c249d7d34dc6526,cdrug_ea451b022f6ed79c,CHEMBL502835,Nintedanib,nintedanib,source_drug
dalias_e29708edbcc2d455,cdrug_ec05f6bf5cc73f6e,1259,Talazoparib,talazoparib,source_drug
dalias_d75a73db1f485e52,cdrug_ec25ee06790a07e7,1016,Temsirolimus,temsirolimus,source_drug
dalias_c08e31754dfce86f,cdrug_edd483796693a02f,1809,Teniposide,teniposide,source_drug
dalias_8e0f8ca1405f39e4,cdrug_eee02d6dc017f95a,1008,Methotrexate,methotrexate,source_drug
dalias_2b3010571d6586b2,cdrug_ef43b4351b3144ee,2040,Foretinib,foretinib,source_drug
dalias_8f2b7ce087443b37,cdrug_f118c0b3ad3f6604,CHEMBL3039513,DECERNOTINIB,decernotinib,source_drug
dalias_7d1928084121f207,cdrug_f1a64967eeab4b83,CHEMBL3393066,VS-5584,vs-5584,source_drug
dalias_06d11ac905f0257a,cdrug_f45eb6a56f3dd23b,1057,Dactolisib,dactolisib,source_drug
dalias_a5284b09ad520966,cdrug_f58fdfe1697da1c9,CHEMBL4447181,LONDAMOCITINIB,londamocitinib,source_drug
dalias_1091e3d6ad8f97a2,cdrug_f80a574bcccb0323,CHEMBL1231124,AZD-1480,azd-1480,source_drug
dalias_379502be48b05fbe,cdrug_f8909ca4d8abdc96,1004,Vinblastine,vinblastine,source_drug
dalias_9df1f441b2039a94,cdrug_fd8b3b58802cb6f2,CHEMBL495727,AT-9283,at-9283,source_drug
dalias_bcf1cb15c592f674,cdrug_fe58aa8064b2e87b,CHEMBL3545215,BMS-911543,bms-911543,source_drug
