molecule_chembl_id,target_label,activity_id,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,document_chembl_id,ln_ic50,gene,target_notes,target_pref_name
CHEMBL4455360,ETA,19405723,CHEMBL252,IC50,=,0.3,nM,9.52,CHEMBL4426323,CHEMBL4425117,-1.2039728043259361,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4455360,ETB,19405760,CHEMBL1785,IC50,=,63.0,nM,7.2,CHEMBL4426324,CHEMBL4425117,4.143134726391533,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4455462,TGFBR1,18980205,CHEMBL4439,IC50,=,0.7,nM,9.15,CHEMBL4339037,CHEMBL4334552,-0.35667494393873245,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4455533,PDE5,19231656,CHEMBL1827,IC50,=,0.54,nM,9.27,CHEMBL4397429,CHEMBL4396872,-0.616186139423817,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4455861,PDE5,19231661,CHEMBL1827,IC50,=,1.61,nM,8.79,CHEMBL4397429,CHEMBL4396872,0.4762341789963717,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4456061,TGFBR1,19271701,CHEMBL4439,IC50,>,5000.0,nM,,CHEMBL4406759,CHEMBL4402613,8.517193191416238,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4456288,ETA,19405677,CHEMBL252,IC50,=,1.4,nM,8.85,CHEMBL4426307,CHEMBL4425117,0.3364722366212129,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4457492,TGFBR1,27083234,CHEMBL4439,IC50,=,6.1,nM,8.21,CHEMBL5731877,CHEMBL5726019,1.8082887711792655,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4457642,TGFBR1,19271699,CHEMBL4439,IC50,>,5000.0,nM,,CHEMBL4406759,CHEMBL4402613,8.517193191416238,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4458005,ETA,19405729,CHEMBL252,IC50,=,0.3,nM,9.52,CHEMBL4426323,CHEMBL4425117,-1.2039728043259361,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
