phase,model,evaluation,fold,train_rows,valid_rows,train_spearman,train_rmse,valid_spearman,valid_rmse,spearman_gap,rmse_gap
phase2a,XGBoost,holdout,1,46368,11592,0.9995341433524046,0.09195059218819086,0.9995523266713393,0.09225515324140872,-1.8183318934661408e-05,0.00030456105321785554
phase2a,XGBoost,drug_groupcv,1,38640,19320,0.9996229347195444,0.07277149934287308,0.7872657511408054,1.9477001505199938,0.212357183578739,1.8749286511771208
phase2a,XGBoost,drug_groupcv,2,38640,19320,0.9996172621033048,0.08658461075643079,0.9017431706568894,1.5505626740302871,0.09787409144641546,1.4639780632738564
phase2a,XGBoost,drug_groupcv,3,38640,19320,0.9997753013254211,0.05373205913446218,0.8957435161031703,1.7942628074306504,0.10403178522225087,1.7405307482961883
phase2a,XGBoost,scaffoldcv,1,38640,19320,0.9996454622073387,0.0803096779763969,0.8900882025195725,1.7164528341681216,0.1095572596877662,1.6361431561917246
phase2a,XGBoost,scaffoldcv,2,38640,19320,0.9996496012362738,0.04563927939551939,0.7780766395798585,2.233507114562868,0.22157296165641527,2.1878678351673484
phase2a,XGBoost,scaffoldcv,3,38640,19320,0.9995164307403064,0.07557939234606474,0.8496990451154338,2.0330994853829756,0.14981738562487257,1.9575200930369108
phase2a,CatBoost,holdout,1,46368,11592,0.9964603212828719,0.29884160136243115,0.9966921692224842,0.29610178071086196,-0.00023184793961228412,-0.0027398206515691914
phase2a,CatBoost,drug_groupcv,1,38640,19320,0.9977708771950358,0.20646336751210415,0.8024814683024908,1.8429970567393597,0.19528940889254498,1.6365336892272555
phase2a,CatBoost,drug_groupcv,2,38640,19320,0.998208613824303,0.20887697970042582,0.9451644186941035,1.3605140245737062,0.053044195130199534,1.1516370448732804
phase2a,CatBoost,drug_groupcv,3,38640,19320,0.998077138046492,0.15871265721619252,0.8655068583785904,1.9662716190819451,0.13257027966790158,1.8075589618657526
phase2a,CatBoost,scaffoldcv,1,38640,19320,0.9985678773823511,0.2021902667506378,0.9200584884340661,1.62896552570644,0.07850938894828496,1.426775258955802
phase2a,CatBoost,scaffoldcv,2,38640,19320,0.998889645214828,0.11729875685385566,0.8040625245989969,2.033740878445637,0.19482712061583118,1.9164421215917813
phase2a,CatBoost,scaffoldcv,3,38640,19320,0.9975339094951767,0.20967879977135917,0.9399537398456214,1.5962007664568958,0.05758016964955537,1.3865219666855366
phase2b,RandomForest,holdout,1,46368,11592,1.0,0.0,1.0,0.0,0.0,0.0
phase2b,RandomForest,drug_groupcv,1,38640,19320,1.0,0.0,0.682373258976361,2.4974204839484306,0.31762674102363897,2.4974204839484306
phase2b,RandomForest,drug_groupcv,2,38640,19320,1.0,0.0,0.8586584527684545,1.8397888149391302,0.14134154723154546,1.8397888149391302
phase2b,RandomForest,drug_groupcv,3,38640,19320,1.0,0.0,0.7647476028181907,2.5141239680592684,0.23525239718180935,2.5141239680592684
phase2b,RandomForest,scaffoldcv,1,38640,19320,0.9999999999999999,0.0,0.7070214934441725,2.523412701969683,0.29297850655582736,2.523412701969683
phase2b,RandomForest,scaffoldcv,2,38640,19320,1.0,0.0,0.6589353021351789,3.076217055152128,0.3410646978648211,3.076217055152128
phase2b,RandomForest,scaffoldcv,3,38640,19320,1.0,0.0,0.5552334556913029,3.333760136635017,0.4447665443086971,3.333760136635017
phase2b,ExtraTrees,holdout,1,46368,11592,1.0,0.0,1.0,0.0,0.0,0.0
phase2b,ExtraTrees,drug_groupcv,1,38640,19320,1.0,0.0,0.7784013830025897,2.1632137001354566,0.22159861699741035,2.1632137001354566
phase2b,ExtraTrees,drug_groupcv,2,38640,19320,1.0,0.0,0.6528296145464638,2.6174241038927204,0.3471703854535362,2.6174241038927204
phase2b,ExtraTrees,drug_groupcv,3,38640,19320,1.0,0.0,0.7992845913325606,2.4626442478645556,0.20071540866743942,2.4626442478645556
phase2b,ExtraTrees,scaffoldcv,1,38640,19320,0.9999999999999999,0.0,0.7402016716954778,2.370782938913583,0.2597983283045221,2.370782938913583
phase2b,ExtraTrees,scaffoldcv,2,38640,19320,1.0,0.0,0.6494772380954468,2.5607078867729958,0.3505227619045532,2.5607078867729958
phase2b,ExtraTrees,scaffoldcv,3,38640,19320,1.0,0.0,0.760045644230857,2.598207534365079,0.23995435576914304,2.598207534365079
phase2b,LightGBM,holdout,1,46368,11592,0.9999435175726217,0.008652645845587127,0.9999460320165519,0.008705516566563687,-2.514443930179411e-06,5.2870720976559704e-05
phase2b,LightGBM,drug_groupcv,1,38640,19320,0.9999576151182828,0.008251496528606855,0.7682249922098294,2.1040601042115243,0.23173262290845342,2.0958086076829177
phase2b,LightGBM,drug_groupcv,2,38640,19320,0.9999306424605565,0.00841485394197973,0.8868465795492306,1.625845751856791,0.11308406291132589,1.6174308979148113
phase2b,LightGBM,drug_groupcv,3,38640,19320,0.9999499085831328,0.007895690526469306,0.8067470477794156,2.322328191681067,0.19320286080371718,2.314432501154598
phase2b,LightGBM,scaffoldcv,1,38640,19320,0.9999422015431704,0.008441253798303867,0.7696814583202435,2.1628353483007916,0.2302607432229269,2.1543940945024875
phase2b,LightGBM,scaffoldcv,2,38640,19320,0.9999576151182828,0.008439062732828675,0.7460136496843321,2.22981560247579,0.2539439654339507,2.2213765397429612
phase2b,LightGBM,scaffoldcv,3,38640,19320,0.9999576151182828,0.0077385494671465115,0.7960650109622389,2.659402294350296,0.20389260415604393,2.6516637448831495
