canonical_drug_id,drug_name,drug_name_norm,n_pairs,li_hc_label_mean,li_hc_label_median,canonical_smiles,hcc_approved,rank_proxy_v2
1018,Veliparib,veliparib,15,5.521935466666666,5.664641,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,False,221
1067,CCT007093,cct007093,15,5.5473684,5.814269,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,False,222
1852,LY2109761,ly2109761,15,5.5601254,5.701745,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,False,223
1931,MIRA-1,mira-1,15,5.594714466666667,5.56724,CCC(=O)OCN1C(=O)C=CC1=O,False,224
1925,GDC0810,gdc0810,15,5.607205333333334,5.589851,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl,False,225
1449,AZD1208,azd1208,15,5.620048333333333,5.779759,NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1,False,226
1237,EPZ004777,epz004777,15,5.6249686,5.825336,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,False,227
1620,PFI3,pfi3,15,5.647905133333333,5.705246,C1C2CN(C1CN2C3=CC=CC=N3)C=CC(=O)C4=CC=CC=C4O,False,228
2107,LJI308,lji308,15,5.704725600000001,5.949826,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,False,229
1815,Dacarbazine,dacarbazine,15,5.714996466666666,5.634075,CN(C)/N=N/c1[nH]cnc1C(N)=O,False,230
1803,Acetalax,acetalax,15,5.757897266666666,6.757978,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C,False,231
1512,Cyclophosphamide,cyclophosphamide,15,5.7927583333333335,5.877914,O.O=P1(N(CCCl)CCCl)NCCCO1,False,232
1563,EPZ5676,epz5676,15,5.911212266666666,5.955448,CC(C)N(CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C,False,233
1073,5-Fluorouracil,5-fluorouracil,15,5.935845133333333,6.065938,FC1=CNC(=O)NC1=O,False,234
1029,Motesanib,motesanib,15,5.9436364,6.073372,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,False,235
2359,GSK2830371,gsk2830371,14,6.041076357142857,6.094785,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,False,236
1806,Oxaliplatin,oxaliplatin,15,6.236241333333334,6.417879,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,False,237
1814,Nelarabine,nelarabine,15,6.433060800000001,6.291233,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,False,238
1375,Temozolomide,temozolomide,15,6.8400468666666665,6.921452,Cn1nnc2c(C(N)=O)ncn2c1=O,False,239
2498,alpha-lipoic acid,alpha-lipoic acid,14,7.877589071428572,7.9649995,OC(=O)CCCC[C@@H]1CCSS1,False,240
2439,glutathione,glutathione,14,9.157051785714286,9.275032,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,False,241
2499,N-acetyl cysteine,n-acetyl cysteine,14,10.070715642857142,9.9465525,CC(=O)N[C@@H](CS)C(O)=O,False,242
2438,ascorbate (vitamin C),ascorbate (vitamin c),14,10.695873214285713,10.991067000000001,C(C(C1C(=C(C(=O)O1)[O-])O)O)O,False,243
