model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
ExtraTrees,CHEMBL42126,PICLAMILAST,2,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.3870967741935484,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.5483870967741935,99,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.5483870967741935,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.38235294117647056,0,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.4406779661016949,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.4406779661016949,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.3,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.3,0,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.3,0,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.5483870967741935,150,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.5483870967741935,5,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,half_life_obach,Excretion,Half-Life,regression,no_match,0.3939393939393939,7,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.3333333333333333,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.3,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.30864197530864196,0,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.36923076923076925,2,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.5483870967741935,3,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.3559322033898305,-3,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.20833333333333334,-4,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.2,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.21875,0,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.21875,0,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.20833333333333334,0,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.2,48,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.5555555555555556,0,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.21839080459770116,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.23684210526315788,0,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.23684210526315788,0,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.20833333333333334,0,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.20833333333333334,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.20833333333333334,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.1978021978021978,3,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.1978021978021978,6,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,half_life_obach,Excretion,Half-Life,regression,analog,0.726027397260274,790,measured
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.24444444444444444,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.16666666666666666,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.1978021978021978,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.21875,2,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.20833333333333334,1,no_data
ExtraTrees,CHEMBL388978,STAUROSPORINE,3,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.25287356321839083,-5,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.27586206896551724,-4,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.25274725274725274,1,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.25274725274725274,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.25274725274725274,1,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.2717391304347826,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.30851063829787234,75,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.22727272727272727,13,no_data
