rank,canonical_drug_id,drug_name,target_genes,target_match_genes,target_gene_match_rate,target_expression_pct,target_expressed,survival_p_value,survival_direction,known_paad_control,clinical_trial_mention_count,ensemble_score,mean_pred_ln_ic50,prism_compound_ids,prism_pancreatic_cell_lines,prism_observations,prism_mean_log2fc,prism_sensitive_fraction_lt_minus1,prism_has_evidence,opentargets_target_ids,opentargets_max_score,opentargets_evidence_count
22,1003,Camptothecin,TOP1,TOP1,1.0,0.9836065573770492,True,0.1484577202560602,high_expression_longer_survival,False,229,-1.4777541,1.4777541,BRD:BRD-K09291936-001-13-3;BRD:BRD-K37890730-001-15-1;BRD:BRD-K63784565-001-06-2,44,101,-3.4542599476088,0.9801980198019802,True,ENSG00000198900,0.46202003448352263,242
23,1006,Cytarabine,ANTIMETABOLITE;POLB,POLB,0.5,0.4808743169398907,True,0.8803305422998914,high_expression_longer_survival,False,0,-1.510643,1.510643,BRD:BRD-K00004609-001-01-9;BRD:BRD-K71847383-001-12-5,44,77,-0.5740572115878086,0.2987012987012987,True,ENSG00000070501,0.0014783194187388074,1
24,1091,BMS-536924,IGF1R;IR,IGF1R,0.5,0.4207650273224044,True,0.9854065902016846,high_expression_shorter_survival,False,0,-1.5152276,1.5152276,BRD:BRD-K34581968-001-04-6,44,42,-1.763257166110698,0.7380952380952381,True,ENSG00000140443,0.09787915096361029,125
25,1179,MK-1775,PLK1;WEE1,PLK1;WEE1,1.0,0.11475409836065574,False,0.14185454876351264,high_expression_shorter_survival,False,5,-1.7029134,1.7029134,BRD:BRD-K54256913-001-08-7,44,36,-3.037817116494759,0.9722222222222222,True,ENSG00000166483;ENSG00000166851,0.11184499150171155,98
26,1373,Dabrafenib,BRAF;LIMK1;NEK11;RAF1;SIK1,BRAF;LIMK1;NEK11;RAF1;SIK1,1.0,0.00546448087431694,False,0.22411532528046896,high_expression_shorter_survival,False,21,-1.9025375,1.9025375,BRD:BRD-K09951645-001-06-8,44,33,-0.026143333483248474,0.09090909090909091,True,ENSG00000106683;ENSG00000114670;ENSG00000132155;ENSG00000142178;ENSG00000157764,0.4573407438615323,298
27,1057,Dactolisib,MTOR;PIK3CG,MTOR;PIK3CG,1.0,0.04371584699453552,False,0.8847723282004207,high_expression_shorter_survival,False,3,-1.909826,1.909826,,44,0,,,False,ENSG00000105851;ENSG00000198793,0.31877858457698127,860
28,2156,5-azacytidine,,,,,False,,no_clinical_data,False,0,-1.9504088,1.9504088,,44,0,,,False,,,0
29,1019,Bosutinib,ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,0.9166666666666666,0.907103825136612,True,0.06654382011509423,high_expression_shorter_survival,False,172,-2.0107863,2.0107863,BRD:BRD-K99964838-001-11-9,44,36,0.0869861938727339,0.05555555555555555,True,ENSG00000000938;ENSG00000065613;ENSG00000097007;ENSG00000101336;ENSG00000126934;ENSG00000135605;ENSG00000148660;ENSG00000169032;ENSG00000169967;ENSG00000197122;ENSG00000254087,0.3066780123387919,371
30,1058,Pictilisib,PIK3CG,PIK3CG,1.0,0.02185792349726776,False,0.9696962095100472,high_expression_longer_survival,False,0,-2.0239468,2.0239468,,44,0,,,False,ENSG00000105851,0.1491337660591318,419
31,1054,Palbociclib,CDK4;CDK6,CDK4;CDK6,1.0,0.8688524590163934,True,0.21932654666097784,high_expression_shorter_survival,False,165,-2.0293028,2.0293028,BRD:BRD-K51313569-003-03-3,44,36,0.08750583097041252,0.027777777777777776,True,ENSG00000105810;ENSG00000135446,0.3928428533156888,148
32,1026,Tanespimycin,HSP90;HSP90AA1;HSP90AB1,HSP90AA1;HSP90AB1,0.6666666666666666,1.0,True,0.1500449991868736,high_expression_longer_survival,False,62,-2.0812638,2.0812638,BRD:BRD-K81473043-001-14-6,44,33,-1.936737662727,0.7878787878787878,True,ENSG00000080824;ENSG00000096384,0.1961186454091823,99
33,1060,PD0325901,MAP2K1;MAP2K2,MAP2K1;MAP2K2,1.0,0.9890710382513661,True,0.5602281425014669,high_expression_shorter_survival,False,0,-2.0874124,2.0874124,BRD:BRD-K49865102-001-08-4,44,35,-1.3961499890727793,0.5428571428571428,True,ENSG00000126934;ENSG00000169032,0.3066780123387919,100
34,1372,Trametinib,MAP2K1;MAP2K2,MAP2K1;MAP2K2,1.0,0.9890710382513661,True,0.5602281425014669,high_expression_shorter_survival,False,194,-2.0896542,2.0896542,BRD:BRD-K12343256-001-08-9,44,36,-1.387073623591361,0.6944444444444444,True,ENSG00000126934;ENSG00000169032,0.3066780123387919,100
35,1593,Entinostat,HDAC1;HDAC3,HDAC1;HDAC3,1.0,0.9890710382513661,True,0.49143482293381924,high_expression_longer_survival,False,253,-2.1048667,2.1048667,BRD:BRD-K77908580-001-09-6,44,36,-1.00046037161385,0.4722222222222222,True,ENSG00000116478;ENSG00000171720,0.10724745408131689,62
