cancer,rank,canonical_drug_id,drug_name,canonical_smiles,admet_engine,admet_engine_status,rdkit_parse_status,hERG_risk,Ames_risk,DILI_risk,hepatotoxicity_risk,solubility,permeability,oral_bioavailability,clearance_or_metabolism_flag,admet_risk_flag_count,admet_tier,oncology_relaxed_interpretation,ev_composite_0_10,graph_luad_caveat,mandatory_caveat
crc,8,1799,Ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,rdkit_descriptors+admet_ai,ok,ok,high,moderate,high,low,-5.885564804077148,0.9991077184677124,0.8108517527580261,elevated_cyp_likelihood_max=0.697,3,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,False,
crc,9,1802,Zoledronate,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,rdkit_descriptors+admet_ai,ok,ok,low,low,low,low,0.23500075936317444,0.038175392895936966,0.13973280787467957,typical_cyp_max=0.128,0,A,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,False,
crc,10,1598,LGK974,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4,rdkit_descriptors+admet_ai,ok,ok,moderate,low,high,low,-3.803715467453003,0.9999955296516418,0.946710467338562,elevated_cyp_likelihood_max=0.976,2,C,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,False,
crc,11,1175,Rucaparib,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,rdkit_descriptors+admet_ai,ok,ok,high,high,high,high,-3.448176622390747,0.9983892440795898,0.9019973874092102,elevated_cyp_likelihood_max=0.722,4,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,False,
crc,12,1931,MIRA-1,CCC(=O)OCN1C(=O)C=CC1=O,rdkit_descriptors+admet_ai,ok,ok,low,high,moderate,low,-1.8057053089141848,0.999457061290741,0.8523746728897095,typical_cyp_max=0.482,2,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=0.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",0.0,False,
crc,13,2359,GSK2830371,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,rdkit_descriptors+admet_ai,ok,ok,high,low,high,moderate,-5.009568214416504,0.9999775886535645,0.6077853441238403,elevated_cyp_likelihood_max=0.990,3,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=0.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",0.0,False,
crc,14,2043,BIBR-1532,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2,rdkit_descriptors+admet_ai,ok,ok,low,low,high,low,-5.345040321350098,0.9762223958969116,0.8364943265914917,typical_cyp_max=0.470,1,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=0.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",0.0,False,
crc,15,1131,PRIMA-1MET,COCC1(CO)N2CCC(CC2)C1=O,rdkit_descriptors+admet_ai,ok,ok,low,moderate,low,low,0.1545452624559402,0.9991998672485352,0.8982185125350952,typical_cyp_max=0.272,1,B,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=B; merge ADMET with ev_composite_0_10=0.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",0.0,False,
luad,1,1018,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,rdkit_descriptors+admet_ai,ok,ok,low,moderate,moderate,low,-2.451637506484986,0.9939810037612916,0.8253988027572632,typical_cyp_max=0.295,2,B,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. LUAD graph partial caveat preserved. admet_tier=B; merge ADMET with ev_composite_0_10=6.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",6.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,2,1578,Leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,rdkit_descriptors+admet_ai,ok,ok,low,low,high,low,-4.603642463684082,0.9999784231185912,0.932889461517334,elevated_cyp_likelihood_max=0.938,1,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. LUAD graph partial caveat preserved. admet_tier=C; merge ADMET with ev_composite_0_10=6.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",6.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
