evidence_id,disease_id,cluster_id,drug_name,rank,tier,target,target_pathway,evidence_text,source_file,match_status,canonical_drug_id
imev_5f6df7709575e8bb,BRCA,imcluster_f4abf244974b1646,Oxaliplatin,9,,DNA alkylating agent,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,matched,cdrug_c44992701a33be56
imev_61bfd5df207795e3,BRCA,imcluster_f4abf244974b1646,Fludarabine,10,,Antimetabolite,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,matched,cdrug_bd7982d23450b140
imev_9d86c4c6a2d447a1,BRCA,imcluster_f4abf244974b1646,THR-101,14,,Mutant RAS,PI3K/MTOR signaling,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,evidence_only,cdrug_cbcd649f573196df
imev_8eada2ac10833e22,BRCA,imcluster_f4abf244974b1646,Nelarabine,18,,,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,matched,cdrug_7213242416f41e1a
imev_b41c87eff0240d13,BRCA,imcluster_f4abf244974b1646,Veliparib,19,,"PARP1, PARP2",Genome integrity,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,evidence_only,cdrug_6f8eb0b04f84047d
imev_9c580004ccc71083,BRCA,imcluster_f4abf244974b1646,MIRA-1,20,,TP53,p53 pathway,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%,BRCA_drug_linkage.csv,evidence_only,cdrug_d8014f6e4666f0f3
imev_b701d70d95cd41d1,BRCA,imcluster_c8239e0289f45dff,Temozolomide,5,,DNA alkylating agent,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,matched,cdrug_625e359eee8fc99b
imev_92ae2d828b7eec9d,BRCA,imcluster_c8239e0289f45dff,CZC24832,7,,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,evidence_only,cdrug_859d8ffb5445e2e7
imev_74a27b6da862ac86,BRCA,imcluster_c8239e0289f45dff,Oxaliplatin,9,,DNA alkylating agent,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,matched,cdrug_c44992701a33be56
imev_ba70a84083de122c,BRCA,imcluster_c8239e0289f45dff,Fludarabine,10,,Antimetabolite,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,matched,cdrug_bd7982d23450b140
imev_ba2c618df177429b,BRCA,imcluster_c8239e0289f45dff,THR-101,14,,Mutant RAS,PI3K/MTOR signaling,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,evidence_only,cdrug_cbcd649f573196df
imev_56c1988c6356b83f,BRCA,imcluster_c8239e0289f45dff,Nelarabine,18,,,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,matched,cdrug_7213242416f41e1a
imev_5874a5510950845b,BRCA,imcluster_c8239e0289f45dff,Veliparib,19,,"PARP1, PARP2",Genome integrity,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,evidence_only,cdrug_6f8eb0b04f84047d
imev_380dbd79c03b15f5,BRCA,imcluster_c8239e0289f45dff,MIRA-1,20,,TP53,p53 pathway,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,evidence_only,cdrug_d8014f6e4666f0f3
imev_050c2c69cb367597,BRCA,imcluster_a23ed182f842b36b,Temozolomide,5,,DNA alkylating agent,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,matched,cdrug_625e359eee8fc99b
imev_da76f12c68a868ef,BRCA,imcluster_a23ed182f842b36b,CZC24832,7,,PI3Kgamma,PI3K/MTOR signaling,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,evidence_only,cdrug_859d8ffb5445e2e7
imev_1527b6b8e28af700,BRCA,imcluster_a23ed182f842b36b,Oxaliplatin,9,,DNA alkylating agent,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,matched,cdrug_c44992701a33be56
imev_39e1842bfa3101d1,BRCA,imcluster_a23ed182f842b36b,Fludarabine,10,,Antimetabolite,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,matched,cdrug_bd7982d23450b140
imev_6ab2727ebf7b06ef,BRCA,imcluster_a23ed182f842b36b,CCT007093,12,,PPM1D,Cell cycle,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,evidence_only,cdrug_c7bcca826492e28a
imev_d0c1e6d6703c6820,BRCA,imcluster_a23ed182f842b36b,THR-101,14,,Mutant RAS,PI3K/MTOR signaling,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,evidence_only,cdrug_cbcd649f573196df
imev_08387e6c2b0cffbd,BRCA,imcluster_a23ed182f842b36b,Nelarabine,18,,,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,matched,cdrug_7213242416f41e1a
imev_2c1681b23b4ffec3,BRCA,imcluster_a23ed182f842b36b,Veliparib,19,,"PARP1, PARP2",Genome integrity,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,evidence_only,cdrug_6f8eb0b04f84047d
imev_24a56cefe10450d5,Colon,imcluster_51dd70c5fbc6ec1a,Irinotecan,24,Tier1,TOP1,DNA replication,Irinotecan may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_da0375af747f9b98
imev_de0792b63b8cb5cd,Colon,imcluster_51dd70c5fbc6ec1a,Vinblastine,3,Tier2,Microtubule destabiliser,Mitosis,Vinblastine may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_f8909ca4d8abdc96
imev_38acf875e39fb39e,Colon,imcluster_51dd70c5fbc6ec1a,Vinorelbine,4,Tier2,Microtubule destabiliser,Mitosis,Vinorelbine may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_b927e4cdcac90f13
imev_310ff2beb4e8104c,Colon,imcluster_51dd70c5fbc6ec1a,Temsirolimus,7,Tier2,MTOR,PI3K/MTOR signaling,Temsirolimus may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via MSI.,Colon_drug_linkage.md,matched,cdrug_ec25ee06790a07e7
imev_7f6c98af0fa196cc,Colon,imcluster_51dd70c5fbc6ec1a,Camptothecin,11,Tier2,TOP1,DNA replication,Camptothecin may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_a286fdd293b9be53
imev_32f6492cd929918d,Colon,imcluster_51dd70c5fbc6ec1a,Topotecan,27,Tier2,TOP1,DNA replication,Topotecan may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_c40413853cfa1088
imev_2201397b36ec4b2b,Colon,imcluster_51dd70c5fbc6ec1a,Paclitaxel,2,Tier2,Microtubule stabiliser,Mitosis,Paclitaxel may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_20b83add6b9c4f21
imev_356033c99a7bce52,Colon,imcluster_51dd70c5fbc6ec1a,Docetaxel,5,Tier2,Microtubule stabiliser,Mitosis,Docetaxel may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_61a5e8e07ce664d1
imev_17b2909c5d9ae248,Colon,imcluster_51dd70c5fbc6ec1a,Teniposide,6,Tier2,,DNA replication,Teniposide may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_edd483796693a02f
imev_6ceebb12905812b4,Colon,imcluster_51dd70c5fbc6ec1a,Rapamycin,8,Tier2,MTORC1,PI3K/MTOR signaling,Rapamycin may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_9487650b5625fd2e
imev_b863e52beca8a55c,Colon,imcluster_51dd70c5fbc6ec1a,Refametinib,10,Tier2,"MEK1, MEK2",ERK MAPK signaling,Refametinib may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,evidence_only,cdrug_8bfd50149ba3e72c
imev_49648c88e28869c5,Colon,imcluster_51dd70c5fbc6ec1a,LMP744,12,Tier2,TOP1,DNA replication,LMP744 may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,evidence_only,cdrug_25c95fa72ddae840
imev_23bfa059bbb87ada,Colon,imcluster_51dd70c5fbc6ec1a,Trametinib,16,Tier2,"MEK1, MEK2",ERK MAPK signaling,Trametinib may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_18e3cf278c38ce2a
imev_ae934e3183df64da,Colon,imcluster_51dd70c5fbc6ec1a,AZD2014,18,Tier2,"mTORC1, mTORC2",PI3K/MTOR signaling,AZD2014 may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_6db1bafe8fb867b7
imev_2fc027ab590a9c07,Colon,imcluster_51dd70c5fbc6ec1a,AZD6482,19,Tier2,PI3Kbeta,PI3K/MTOR signaling,AZD6482 may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_06622178d9ceb258
imev_8ab43b37081d8513,Colon,imcluster_51dd70c5fbc6ec1a,PD0325901,22,Tier2,"MEK1, MEK2",ERK MAPK signaling,PD0325901 may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,evidence_only,cdrug_437729aca9b5a6f7
imev_007f9f3bc34228b6,Colon,imcluster_51dd70c5fbc6ec1a,Epirubicin,25,Tier2,Anthracycline,DNA replication,Epirubicin may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_34152dace9ff98c9
imev_11e2e0772cb5f30b,Colon,imcluster_51dd70c5fbc6ec1a,Bortezomib,26,Tier2,Proteasome,Protein stability and degradation,Bortezomib may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_5b0d446d35d3790d
imev_f231b8c2bb75acb3,Colon,imcluster_5ec220e124a50080,Irinotecan,24,Tier1,TOP1,DNA replication,Irinotecan may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_da0375af747f9b98
imev_ee1ef03d546cb322,Colon,imcluster_5ec220e124a50080,Vinblastine,3,Tier2,Microtubule destabiliser,Mitosis,Vinblastine may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_f8909ca4d8abdc96
imev_effd1f61dd0bdb8d,Colon,imcluster_5ec220e124a50080,Vinorelbine,4,Tier2,Microtubule destabiliser,Mitosis,Vinorelbine may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_b927e4cdcac90f13
imev_c694208b29043c01,Colon,imcluster_5ec220e124a50080,Temsirolimus,7,Tier2,MTOR,PI3K/MTOR signaling,Temsirolimus may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via MSI.,Colon_drug_linkage.md,matched,cdrug_ec25ee06790a07e7
imev_61f8834d960ff829,Colon,imcluster_5ec220e124a50080,Camptothecin,11,Tier2,TOP1,DNA replication,Camptothecin may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_a286fdd293b9be53
imev_8c4ba0c6b7898360,Colon,imcluster_5ec220e124a50080,Topotecan,27,Tier2,TOP1,DNA replication,Topotecan may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_c40413853cfa1088
imev_58224d4a68e82c1e,Colon,imcluster_5ec220e124a50080,Paclitaxel,2,Tier2,Microtubule stabiliser,Mitosis,Paclitaxel may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_20b83add6b9c4f21
imev_89bd6e11aabe15e1,Colon,imcluster_5ec220e124a50080,Docetaxel,5,Tier2,Microtubule stabiliser,Mitosis,Docetaxel may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_61a5e8e07ce664d1
imev_e6321c02753feb29,Colon,imcluster_5ec220e124a50080,Teniposide,6,Tier2,,DNA replication,Teniposide may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_edd483796693a02f
imev_1074396e456bab7c,Colon,imcluster_5ec220e124a50080,Rapamycin,8,Tier2,MTORC1,PI3K/MTOR signaling,Rapamycin may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_9487650b5625fd2e
imev_e5c89dc7db5a5cb2,Colon,imcluster_5ec220e124a50080,Refametinib,10,Tier2,"MEK1, MEK2",ERK MAPK signaling,Refametinib may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,evidence_only,cdrug_8bfd50149ba3e72c
imev_87595fc7e0a5cfee,Colon,imcluster_5ec220e124a50080,LMP744,12,Tier2,TOP1,DNA replication,LMP744 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,evidence_only,cdrug_25c95fa72ddae840
imev_8bc198a0c2fb3493,Colon,imcluster_5ec220e124a50080,Trametinib,16,Tier2,"MEK1, MEK2",ERK MAPK signaling,Trametinib may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_18e3cf278c38ce2a
imev_ac560f8eafad5f97,Colon,imcluster_5ec220e124a50080,AZD2014,18,Tier2,"mTORC1, mTORC2",PI3K/MTOR signaling,AZD2014 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_6db1bafe8fb867b7
imev_5a575a609891d060,Colon,imcluster_5ec220e124a50080,AZD6482,19,Tier2,PI3Kbeta,PI3K/MTOR signaling,AZD6482 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_06622178d9ceb258
imev_0024bfa5010de968,Colon,imcluster_5ec220e124a50080,PD0325901,22,Tier2,"MEK1, MEK2",ERK MAPK signaling,PD0325901 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,evidence_only,cdrug_437729aca9b5a6f7
imev_c80adb8b0a6613e8,Colon,imcluster_5ec220e124a50080,Epirubicin,25,Tier2,Anthracycline,DNA replication,Epirubicin may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_34152dace9ff98c9
imev_ebd322906d1b5216,Colon,imcluster_5ec220e124a50080,Bortezomib,26,Tier2,Proteasome,Protein stability and degradation,Bortezomib may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_5b0d446d35d3790d
imev_54d1da53bda80672,Colon,imcluster_fca36e499f1d09d1,Irinotecan,24,Tier1,TOP1,DNA replication,Irinotecan may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_da0375af747f9b98
imev_f6545bd62cc43f70,Colon,imcluster_fca36e499f1d09d1,Vinblastine,3,Tier2,Microtubule destabiliser,Mitosis,Vinblastine may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_f8909ca4d8abdc96
imev_bac95bf5dbc6e2a5,Colon,imcluster_fca36e499f1d09d1,Vinorelbine,4,Tier2,Microtubule destabiliser,Mitosis,Vinorelbine may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,Colon_drug_linkage.md,matched,cdrug_b927e4cdcac90f13
imev_7c2de292b3f5428b,Colon,imcluster_fca36e499f1d09d1,Temsirolimus,7,Tier2,MTOR,PI3K/MTOR signaling,Temsirolimus may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via MSI.,Colon_drug_linkage.md,matched,cdrug_ec25ee06790a07e7
imev_4267274dcd0c4b83,HNSC,imcluster_93baab94defd2986,Buparlisib,6,,"PI3KALPHA|PI3KBETA|PI3KDELTA|PI3KGAMMA PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma PI3K/MTOR signaling PIK3CA|PIK3CB|PIK3CD|PIK3CG",,TP53 mutated (72%); CDKN2A mutated (22%) | PIK3CA-linked target evidence,HNSC_drug_linkage.csv,matched,cdrug_e6882f20c467ce5f
imev_f71ba6b583e13383,HNSC,imcluster_93baab94defd2986,Irinotecan,8,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (72%); CDKN2A mutated (22%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_da0375af747f9b98
imev_0c8c4c28d9a14df2,HNSC,imcluster_93baab94defd2986,SN-38,22,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (72%); CDKN2A mutated (22%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_d82e10aee750f670
imev_22faa75af63725e9,HNSC,imcluster_93baab94defd2986,Afatinib,1,,"EGFR|ERBB2 EGFR, ERBB2 EGFR signaling EGFR|ERBB2",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_b211aef3f5543386
imev_67cb5dc347c64d7c,HNSC,imcluster_93baab94defd2986,Camptothecin,2,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_a286fdd293b9be53
imev_6e14d6553e264bdc,HNSC,imcluster_93baab94defd2986,Romidepsin,3,,"HDAC1|HDAC2|HDAC3|HDAC8 HDAC1, HDAC2, HDAC3, HDAC8 Chromatin histone acetylation HDAC1|HDAC2|HDAC3|HDAC8",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_2e9ab8a291ff1bc8
imev_00498af7287ffc9c,HNSC,imcluster_93baab94defd2986,BI-2536,7,,"PLK1|PLK2|PLK3 PLK1, PLK2, PLK3 Cell cycle PLK1|PLK2|PLK3",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_5e43b24a58c005d7
imev_3b74c7110d3c51e3,HNSC,imcluster_93baab94defd2986,Trametinib,9,,"MEK1|MEK2 MEK1, MEK2 ERK MAPK signaling MAP2K1|MAP2K2",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_18e3cf278c38ce2a
imev_827dcc6794ba282b,HNSC,imcluster_93baab94defd2986,Talazoparib,12,,"PARP1|PARP2 PARP1, PARP2 Genome integrity PARP1|PARP2",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_ec05f6bf5cc73f6e
imev_3877ff363303fbdd,HNSC,imcluster_93baab94defd2986,Foretinib,13,,"EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3 MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR RTK signaling EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_ef43b4351b3144ee
imev_98ad9d4de4dc3cb8,HNSC,imcluster_93baab94defd2986,Ribociclib,15,,"CDK4|CDK6 CDK4, CDK6 Cell cycle CDK4|CDK6",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_e642845b7af9f923
imev_f2b8fc4ae7bd9b1e,HNSC,imcluster_93baab94defd2986,MK-2206,16,,"AKT1|AKT2 AKT1, AKT2 PI3K/MTOR signaling AKT1|AKT2",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_d464ce63544cc204
imev_fe1cc61e9f3bb190,HNSC,imcluster_93baab94defd2986,Elesclomol,17,,HSP90 HSP90 Protein stability and degradation HSP90AA1,,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_52692989966fe3dc
imev_832526b784e64e15,HNSC,imcluster_93baab94defd2986,Entinostat,18,,"HDAC1|HDAC3 HDAC1, HDAC3 Chromatin histone acetylation HDAC1|HDAC3",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_58450c4db13a14e1
imev_01798136c5b9fd57,HNSC,imcluster_93baab94defd2986,Lapatinib,19,,"EGFR|ERBB2 EGFR, ERBB2 EGFR signaling EGFR|ERBB2",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_d6afb6f031e7fe30
imev_f03352bb0df56b75,HNSC,imcluster_93baab94defd2986,Alisertib,20,,AURKA AURKA Mitosis AURKA,,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_1ac4a2d6c19d68f5
imev_9cef288b5e49d908,HNSC,imcluster_93baab94defd2986,Palbociclib,21,,"CDK4|CDK6 CDK4, CDK6 Cell cycle CDK4|CDK6",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_a54fa6b388237c1c
imev_188579b87c63d5fb,HNSC,imcluster_93baab94defd2986,MG-132,23,,"CAPN1|PROTEASOME Proteasome, CAPN1 Protein stability and degradation CAPN1|PROTEASOME",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_371d0df931c65f11
imev_3a9590c06c468fee,HNSC,imcluster_93baab94defd2986,Uprosertib,26,,"AKT1|AKT2|AKT3 AKT1, AKT2, AKT3 PI3K/MTOR signaling AKT1|AKT2|AKT3",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_6a5a5a0a0c643307
imev_e5b91bc920aa7944,HNSC,imcluster_93baab94defd2986,Gefitinib,30,,EGFR EGFR EGFR signaling EGFR,,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_6fae7753ea49d2b0
imev_b04d78df7dfd65e1,HNSC,imcluster_93baab94defd2986,Paclitaxel,11,,MICROTUBULE STABILISER Microtubule stabiliser Mitosis MICROTUBULESTABILISER,,TP53 mutated (72%); CDKN2A mutated (22%) | current HNSC therapy benchmark,HNSC_drug_linkage.csv,matched,cdrug_20b83add6b9c4f21
imev_8d105801524bbd92,HNSC,imcluster_93baab94defd2986,Methotrexate,29,,ANTIMETABOLITE Antimetabolite DNA replication ANTIMETABOLITE,,TP53 mutated (72%); CDKN2A mutated (22%) | current HNSC therapy benchmark,HNSC_drug_linkage.csv,matched,cdrug_eee02d6dc017f95a
