candidate_id,canonical_drug_id,disease_id,rank,tier,score,evidence_summary,safety_score,verdict,admet_status,hard_fail,hard_fail_reasons,soft_flags,source_file,source_row_number
cand_57fe03d4e1eb6753,cdrug_34152dace9ff98c9,HNSC,27,Tier 2,0.5887644348165968,타암종 승인/적응증확장 연구축,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,27
cand_18efcac0f66329fa,cdrug_a0f92608891f8025,HNSC,28,Tier 3,0.5852702708007125,,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,28
cand_379d66af6bf9e76b,cdrug_eee02d6dc017f95a,HNSC,29,Tier 1,0.5847105685639631,,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,29
cand_1976d1af2680a143,cdrug_6fae7753ea49d2b0,HNSC,30,Tier 3,0.5810183841769212,,,KEEP,KEEP,,,,HNSC_final_admet.csv,30
cand_47e4faa18a305f06,cdrug_ea451b022f6ed79c,IPF,1,Tier1,-1.13900439821085,IPF-approved reference,,Clinical_Context_Hard_Fail,Clinical_Context_Hard_Fail,,hERG_prob>0.7 (0.817),DILI_prob>0.5 (0.722); CYP3A4_inhibition_prob>0.5 (0.664); High_hepatocyte_clearance>50 (82.5); High_microsome_clearance>50 (57.9),IPF_final_tiered.csv,1
cand_d9025f042cb468dc,cdrug_fd8b3b58802cb6f2,IPF,2,Tier2,-3.279430904509071,Approved/clinical drug hitting IPF-relevant target axis,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.775); CYP3A4_inhibition_prob>0.5 (0.524); Low_Caco2_logPapp<-5.15 (-5.73),IPF_final_tiered.csv,2
cand_aa34e25f060a931d,cdrug_6c95cca9e9b8fc23,IPF,3,Tier2,-2.739619827189386,Approved/clinical drug hitting IPF-relevant target axis,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.669); CYP3A4_inhibition_prob>0.5 (0.518); High_BBB_prob>0.7 (0.762),IPF_final_tiered.csv,3
cand_c56c68b5c797c808,cdrug_5a6ce189f111e47c,IPF,4,Tier2,-2.464100708535658,Approved/clinical drug hitting IPF-relevant target axis,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.645),IPF_final_tiered.csv,4
cand_3dc3acfd26ad478b,cdrug_14bc3bba5c9315c4,IPF,5,Tier2,-0.3689907468086709,Approved/clinical drug hitting IPF-relevant target axis,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.794); CYP3A4_inhibition_prob>0.5 (0.606); High_hepatocyte_clearance>50 (93.0); High_microsome_clearance>50 (57.1),IPF_final_tiered.csv,5
cand_3971b65f92634bf3,cdrug_ceaf5c410c5875aa,IPF,6,Tier2,-0.1196366092660834,Approved/clinical drug hitting IPF-relevant target axis,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.801); CYP3A4_inhibition_prob>0.5 (0.507); PPB>95% (98.0); Low_Caco2_logPapp<-5.15 (-5.31),IPF_final_tiered.csv,6
cand_0702f9f4f10cf96b,cdrug_a49713e61b9488b9,IPF,7,Tier2,-3.2458617673888663,Approved/clinical drug hitting IPF-relevant target axis,,Clinical_Context_Hard_Fail,Clinical_Context_Hard_Fail,,hERG_prob>0.7 (0.844),DILI_prob>0.5 (0.740); CYP3A4_inhibition_prob>0.5 (0.577); Low_Caco2_logPapp<-5.15 (-5.28); High_BBB_prob>0.7 (0.738); High_microsome_clearance>50 (54.2),IPF_final_tiered.csv,7
