Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,assay,task_type,admet_value
27,CHEMBL957,BOSENTAN,2193,3.066477524156905,ETA,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,hia_hou,classification,0.525522858734843
28,CHEMBL238804,SELEXIPAG,3014,4.119525752351404,IP_receptor,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,hia_hou,classification,0.7483927309780344
29,CHEMBL9194,ATRASENTAN,614,0.3825911829465538,ETA,3.0,clinical_or_late_phase,Tier2,Approved or clinical repurposing candidate,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,hia_hou,classification,0.8330593240574508
30,CHEMBL293830,,21,-3.456692394947719,ETA,,model_rank_fill_after_dedup,Tier4,Unnamed or preclinical lead,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)C2CC2)c1,hia_hou,classification,0.6561180632213747
1,CHEMBL3885244,,1,-5.027996513166518,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,pgp_broccatelli,classification,0.5383080850117428
2,CHEMBL3774897,,2,-5.020776503991561,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,pgp_broccatelli,classification,0.5421390586837698
3,CHEMBL1094489,,3,-4.899935859795952,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(N3CCC(CN)CC3)nc(Nc3cc(C)ccn3)c21,pgp_broccatelli,classification,0.45555064958354136
4,CHEMBL1916483,,4,-4.532604298966646,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCCC(C(=O)O)C2)c2nnc(-c3ccc(OC)nc3)cc21,pgp_broccatelli,classification,0.5474353783455713
5,CHEMBL1916488,,5,-4.520093807692293,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,pgp_broccatelli,classification,0.5361881911532825
6,CHEMBL1098465,,6,-4.478600174065137,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(NCC3CCNCC3)nc(Nc3cc(C)ccn3)c21,pgp_broccatelli,classification,0.4711251443508946
