canonical_drug_id,DRUG_NAME,nct_id,ct_drug_name,ct_status,match_type
1819,Docetaxel,NCT03158129,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00040885,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03971474,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01911325,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT03863483,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT01204099,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00139711,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02922764,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02300298,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT04895709,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02231164,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00271505,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00193323,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05671510,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02134990,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00215930,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT04884282,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00083083,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT07464327,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06881784,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06745908,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02393248,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00274898,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT03732001,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT05633667,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02127372,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00064012,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00030407,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03150875,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03837977,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00003900,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT04471428,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00062439,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06525350,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT07442565,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT03770299,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00103389,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05777278,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00006215,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT06780098,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00970684,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01703091,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02387216,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02766335,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03228186,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02642042,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06749886,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01557959,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00062270,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00405951,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00356941,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT01652469,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00406302,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03703596,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00118183,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03337698,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03611738,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00738387,docetaxel,TERMINATED,exact_name_or_synonym
