canonical_drug_id,DRUG_NAME,cosmic_drug_field,cosmic_drug_value,GENOMIC_MUTATION_ID,TRIAL_ID
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Trastuzumab",,NCT01880385
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Carboplatin,Docetaxel,Trastuzumab",,NCT00949247
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Sunitinib,Trastuzumab",,NCT00372424
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT05319873
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pyrotinib,Trastuzumab",,NCT04367090
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pyrotinib,Trastuzumab",,NCT06770296
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Zanidatamab",,NCT07102381
1819,Docetaxel,DRUG_COMBINATION,"BL-M07D1,Docetaxel,Pertuzumab",,NCT06445400
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Nab-paclitaxel,Paclitaxel,Pertuzumab,Trastuzumab",,NCT06441890
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Nab-paclitaxel,Paclitaxel,Pertuzumab,Trastuzumab,Trastuzumab Deruxtecan,Trastuzumab-emtansine,Tucatinib",,NCT06439693
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Goserelin,Letrozole,Pertuzumab,Tamoxifen,Trastuzumab-emtansine",,NCT06348134
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pertuzumab,Trastuzumab-emtansine",,NCT06348134
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab,Trilaciclib",,NCT05978648
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab,Trilaciclib",,NCT05978648
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pertuzumab",,NCT00545688
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Zanidatamab",,NCT04276493
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab,Trastuzumab-emtansine",,NCT04419181
1819,Docetaxel,DRUG_COMBINATION,"Anbenitamab,Docetaxel",,NCT04165993
1819,Docetaxel,DRUG_COMBINATION,"Anbenitamab,Docetaxel",,NCT04881929
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Doxorubicin hydrochloride liposome,Trastuzumab",,NCT04172259
1819,Docetaxel,DRUG_COMBINATION,"Atezolizumab,Docetaxel,Pertuzumab,Trastuzumab",,NCT03881878
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Envafolimab,Trastuzumab",,NCT04034823
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pyrotinib,Trastuzumab",,NCT03735966
