canonical_drug_id,pred_ensemble_mean,ensemble_member_std_mean,n_cell_drug_rows,m0_mean,m1_mean,m2_mean,m3_mean,m4_mean,m5_mean,top_model_vote_count,confidence_grade,rank_lihc_v2_directive,drug_name_norm,drug_name,drug_name_display
1809,1.2019277685880663,0.3927268215146761,15,1.053940588235855,1.5749662299950917,0.7388265748818715,1.029527582724889,1.484538580973943,1.4421129862467448,5,B,19,teniposide,Teniposide,Teniposide
1039,1.2608564674854277,0.8257773609051865,1,0.9446534514427185,0.47417253255844116,1.0885295867919922,2.9061849117279053,1.2626780271530151,2.2275140285491943,3,C,20,sl0101,SL0101,SL0101
1026,1.2641354389699797,0.5474475898014908,15,1.1954724669456482,1.9871586084365844,0.7210424677779277,0.47585683117310207,1.684159807364146,1.207045817375183,4,C,21,tanespimycin,Tanespimycin,Tanespimycin
1810,1.3088061732289693,0.7647299306500271,15,1.9957950512568157,0.7996413229654232,1.1861189797520637,1.8682656506697337,0.013133028149604797,2.1081840356190997,3,C,22,mitoxantrone,Mitoxantrone,Mitoxantrone
1034,1.5214407435754935,0.7780662656943304,15,1.3022818485895793,1.3811016917228698,2.029591608047485,1.0451534112294516,2.716032282511393,0.3811233257253965,4,C,23,staurosporine,Staurosporine,Staurosporine
1096,1.5770846152305604,0.8803751817786347,1,2.1406009197235107,1.1113218069076538,2.1486337184906006,1.8629635572433472,-0.18348222970962524,2.356825590133667,2,C,24,tozasertib,Tozasertib,Tozasertib
1084,1.6226803891658783,0.9917325557374447,15,0.11965369780858358,2.36288556655248,1.9310230175654093,1.6260510524113974,3.1211137453715008,0.9221725463867188,2,C,25,rapamycin,Rapamycin,Rapamycin
1086,1.655757407233119,0.8303211527282238,15,1.1114316741625467,2.4840291023254393,1.6512019316355386,0.36539317717154823,2.7996149619420367,1.4237518787384034,3,C,26,bi2536,BI-2536,BI-2536
1617,1.6875195823510487,1.1156176567789962,15,-0.04915674726168315,3.000162450472514,1.4458058456579843,1.7776949405670166,3.1214150190353394,1.045951990286509,3,C,27,azd5582,AZD5582,AZD5582
1529,1.7186592387954394,0.7582442242531098,15,2.3029600620269775,1.764388499657313,1.6448354721069336,1.7353237390518188,0.16759225428104402,2.3631739457448324,2,C,28,pevonedistat,Pevonedistat,Pevonedistat
2048,1.7430936384797096,0.4249298459692117,15,1.9963520526885987,2.080246329307556,1.582466435432434,1.029046545426051,1.6603206475575765,1.6888214906056722,1,C,29,vinorelbine,Vinorelbine,Vinorelbine
1019,1.8793226240078609,0.5009869757514123,15,1.4316478967666626,2.5246623277664186,2.1537823994954426,1.1878521243731182,2.006482317050298,1.7524393876393636,1,C,30,bosutinib,Bosutinib,Bosutinib
