phase,model,evaluation,fold,train_rows,valid_rows,train_spearman,train_rmse,valid_spearman,valid_rmse,spearman_gap,rmse_gap
phase2b,LightGBM,scaffoldcv,3,12920,6384,0.9997898909817198,0.008042417363533373,0.7059967608270687,1.9938685665314209,0.293793130154651,1.9858261491678875
phase2b,XGBoost,holdout,1,15443,3861,0.999881499551118,0.0247589910897259,0.9998837579303596,0.024972091348255916,-2.2583792415042936e-06,0.00021310025853001416
phase2b,XGBoost,drug_groupcv,1,12768,6536,0.9999139377768536,0.012470349640898961,0.7510666463134549,2.0834582751233426,0.24884729146339868,2.0709879254824437
phase2b,XGBoost,drug_groupcv,2,12920,6384,0.9999169400721188,0.013836322050797437,0.8212838628257652,2.0346288647373343,0.1786330772463537,2.0207925426865367
phase2b,XGBoost,drug_groupcv,3,12920,6384,0.9997605780290623,0.010839921627450172,0.5503018520784527,2.7798507096064156,0.44945872595060954,2.7690107879789654
phase2b,XGBoost,scaffoldcv,1,12768,6536,0.9999443129611152,0.012289586577485329,0.7729385896834511,2.034633584556736,0.2270057232776641,2.0223439979792506
phase2b,XGBoost,scaffoldcv,2,12920,6384,0.9998631917361407,0.012412406670298115,0.7839863909782839,2.138809286965695,0.21587680075785676,2.1263968802953968
phase2b,XGBoost,scaffoldcv,3,12920,6384,0.9998338716207065,0.01351743302070029,0.8398703431142953,1.8017504309605124,0.15996352850641116,1.7882329979398122
phase2b,CatBoost,holdout,1,15443,3861,0.999061664713992,0.10944755258827853,0.9990263025462084,0.10945471041855465,3.536216778365908e-05,7.157830276119381e-06
phase2b,CatBoost,drug_groupcv,1,12768,6536,0.999508921650649,0.05152092851234382,0.8628280213932773,1.9230192053986483,0.13668090025737167,1.8714982768863044
phase2b,CatBoost,drug_groupcv,2,12920,6384,0.9996525881210212,0.05675377527592468,0.8568913521393644,2.0735397695524806,0.1427612359816568,2.016785994276556
phase2b,CatBoost,drug_groupcv,3,12920,6384,0.9995755662158534,0.04017639730670934,0.6378058645485942,2.5773363895207404,0.3617697016672592,2.537159992214031
phase2b,CatBoost,scaffoldcv,1,12768,6536,0.9996656746385157,0.04286914714673719,0.7218339771873276,2.2866898237910314,0.2778316974511882,2.2438206766442943
phase2b,CatBoost,scaffoldcv,2,12920,6384,0.9994941369107145,0.05541196717114981,0.8205917037485445,2.0716299600523422,0.17890243316217003,2.0162179928811925
phase2b,CatBoost,scaffoldcv,3,12920,6384,0.9994560833412229,0.054730064693705935,0.8682677020538252,1.640006216509984,0.13118838128739774,1.5852761518162781
