canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL1789941,-10.211242027454542,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1
CHEMBL1873475,-9.416094958731227,IBRUTINIB,-9.433483923290392,0.08,1,4.0,2
CHEMBL4297674,-9.29356330791061,BRANEBRUTINIB,-9.315700887634009,0.09,1,2.0,3
CHEMBL4594420,-9.195749252799034,LUXEPTINIB,-9.210340371976182,0.1,1,1.0,4
CHEMBL388978,-9.054428519668686,STAUROSPORINE,-9.070578429601024,0.115,3,0.0,5
CHEMBL1231124,-8.502111972475216,AZD-1480,-8.517193191416238,0.2,2,2.0,6
CHEMBL4303389,-8.200809560365716,NS-018,-8.2170885989659,0.27,2,2.0,7
CHEMBL3936761,-8.09546826837212,ZANUBRUTINIB,-8.111728083308073,0.3,1,4.0,8
CHEMBL4756476,-7.842404058911346,NEMTABRUTINIB,-7.849363818840582,0.39,1,3.0,9
CHEMBL4209441,-7.8372824373819014,SOFNOBRUTINIB,-7.849363818840582,0.39,1,2.0,10
CHEMBL4297865,-7.819116197037585,ABIVERTINIB,-7.826549141074411,0.399,3,3.0,11
CHEMBL4066193,-7.809056339598468,ATINVICITINIB,-7.824046010856292,0.4,1,2.0,12
CHEMBL3900554,-7.790154143087497,BMS-986142,-7.799353398265921,0.41,2,2.0,13
CHEMBL5077961,-7.666026428053249,MILREBRUTINIB,-7.6842840684811335,0.46,1,2.0,14
CHEMBL221959,-7.600656071393736,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15
CHEMBL3301625,-7.59107593382011,SPEBRUTINIB,-7.600902459542082,0.5,2,2.0,16
CHEMBL4447181,-7.514543150822308,LONDAMOCITINIB,-7.523941418405954,0.54,2,2.0,17
CHEMBL3989927,-7.400808644217561,IBERDOMIDE,-7.435388021064509,0.59,1,3.0,18
CHEMBL2105759,-7.251625709575538,BARICITINIB,-7.264430222920869,0.7,2,4.0,19
CHEMBL4650323,-7.242481333140203,TOLEBRUTINIB,-7.264430222920869,0.7,1,3.0,20
CHEMBL1287853,-7.185255346840454,FEDRATINIB,-7.195437351433918,0.75,2,4.0,21
CHEMBL3622821,-7.119468347519483,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22
CHEMBL603469,-7.001971986406521,LESTAURTINIB,-7.013115794639964,0.9,2,3.0,23
CHEMBL495727,-6.901518652077899,AT-9283,-6.907755278982137,1.0,2,2.0,24
CHEMBL4483575,-6.899900095367967,REMIBRUTINIB,-6.907755278982137,1.0,1,3.0,25
CHEMBL2035187,-6.896598578550564,PACRITINIB,-6.907755278982137,1.0,2,4.0,26
CHEMBL4163691,-6.895301143979699,POSELTINIB,-6.907755278982137,1.0,1,2.0,27
CHEMBL191003,-6.89467232755165,JNJ-7706621,-6.907755278982137,1.0,1,0.0,28
CHEMBL3786343,-6.876245143822739,OLMUTINIB,-6.907755278982137,1.0,1,4.0,29
CHEMBL4298138,-6.8548585501871955,REPOTRECTINIB,-6.868534565828855,1.04,1,4.0,30
CHEMBL3545215,-6.798469042931774,BMS-911543,-6.812445099177812,1.1,2,2.0,31
CHEMBL4297640,-6.791722906944964,VECABRUTINIB,-6.812445099177812,1.1,1,2.0,32
