model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.23529411764705882,18,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.21212121212121213,26,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,half_life_obach,Excretion,Half-Life,regression,no_match,0.25287356321839083,5,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.25287356321839083,1,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.25287356321839083,1,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.23333333333333334,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.25287356321839083,1,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.2823529411764706,2,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.2804878048780488,-5,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.22988505747126436,-5,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.2361111111111111,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.19318181818181818,0,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.2361111111111111,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.225,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.25,96,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.2328767123287671,0,no_data
