family,stem,eval_mode,model,train_spearman_mean,val_spearman_mean,train_spearman_std,val_spearman_std,gap_spearman_mean,diagnostic,json_file
dl,stad_numeric_smiles_dl_v1,groupcv,DL_MLP_3x512,0.7931407721459518,0.5149511188948351,0.04424470911662773,0.018952660556616086,0.2781896532511166,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_groupcv.json
dl,stad_numeric_smiles_dl_v1,groupcv,DL_MLP_ResidualStyle,0.7689140739910897,0.5219016723581296,0.0488479126310531,0.03651029094230579,0.24701240163296015,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_groupcv.json
dl,stad_numeric_smiles_dl_v1,groupcv,DL_MLP_SELU_3x256,0.664718752499795,0.4581882605448913,0.22865192196735315,0.10278991176583675,0.20653049195490358,Overfitting detected in 2 fold(s),stad_numeric_smiles_dl_v1_groupcv.json
dl,stad_numeric_smiles_dl_v1,groupcv,DL_MLP_WideNarrow,0.7891254927408929,0.5110248825064917,0.05226134747035468,0.028838818830291595,0.27810061023440125,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_groupcv.json
dl,stad_numeric_smiles_dl_v1,scaffoldcv,DL_MLP_1024_512_256,0.7360494229317536,0.4066152568898422,0.13934406793725249,0.0629625761066579,0.3294341660419114,Overfitting detected in 2 fold(s),stad_numeric_smiles_dl_v1_scaffoldcv.json
dl,stad_numeric_smiles_dl_v1,scaffoldcv,DL_MLP_2x1024,0.8232736883780252,0.39687061177291355,0.012648155349543708,0.08300668119790888,0.4264030766051115,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_scaffoldcv.json
dl,stad_numeric_smiles_dl_v1,scaffoldcv,DL_MLP_2x512,0.8030594729121009,0.40679680751843944,0.027034140278432175,0.07662322277921105,0.3962626653936614,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_scaffoldcv.json
dl,stad_numeric_smiles_dl_v1,scaffoldcv,DL_MLP_3x512,0.7028812119470439,0.38244399323870765,0.0892156141702353,0.09585477656244816,0.32043721870833614,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_scaffoldcv.json
dl,stad_numeric_smiles_dl_v1,scaffoldcv,DL_MLP_ResidualStyle,0.6603569576099629,0.42670235880248036,0.11724767178975656,0.06435156143743825,0.23365459880748252,Overfitting detected in 2 fold(s),stad_numeric_smiles_dl_v1_scaffoldcv.json
dl,stad_numeric_smiles_dl_v1,scaffoldcv,DL_MLP_SELU_3x256,0.6422537831560535,0.3863294720278416,0.16846045624787054,0.17045304492362362,0.2559243111282119,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_scaffoldcv.json
dl,stad_numeric_smiles_dl_v1,scaffoldcv,DL_MLP_WideNarrow,0.8170276593037181,0.39606222793094026,0.003909172082520309,0.05998281399578253,0.42096543137277775,Overfitting detected in 3 fold(s),stad_numeric_smiles_dl_v1_scaffoldcv.json
graph,stad_numeric_context_smiles_graph_v1,cv5,GAT,0.08139002109835727,0.0885429740303385,0.13957283310726765,0.1014549713905968,-0.007152952931981227,Unstable across folds (std=0.1015),stad_numeric_context_smiles_graph_v1_cv5.json
graph,stad_numeric_context_smiles_graph_v1,cv5,GraphSAGE,0.09837258993594442,0.1191433365454461,0.11161973118745688,0.13662413401959234,-0.02077074660950167,Unstable across folds (std=0.1366),stad_numeric_context_smiles_graph_v1_cv5.json
graph,stad_numeric_context_smiles_graph_v1,groupcv,GAT,0.1411151516724975,0.17549929734213296,0.100598425159529,0.04693261921954875,-0.03438414566963544,,stad_numeric_context_smiles_graph_v1_groupcv.json
graph,stad_numeric_context_smiles_graph_v1,groupcv,GraphSAGE,0.1918068895610824,0.19946938572638992,0.08229521219792359,0.07138153607104768,-0.007662496165307453,Unstable across folds (std=0.0714),stad_numeric_context_smiles_graph_v1_groupcv.json
graph,stad_numeric_context_smiles_graph_v1,scaffoldcv,GAT,-0.03858029083406061,0.006981995682074203,0.14442795204293374,0.18308038876162538,-0.04556228651613481,Unstable across folds (std=0.1831),stad_numeric_context_smiles_graph_v1_scaffoldcv.json
graph,stad_numeric_context_smiles_graph_v1,scaffoldcv,GraphSAGE,0.09920989694990533,0.009223097467542818,0.12501094171334504,0.1569718633249197,0.0899867994823625,Overfitting detected in 1 fold(s),stad_numeric_context_smiles_graph_v1_scaffoldcv.json
graph,stad_numeric_graph_v1,cv5,GAT,0.11093074074310569,0.08777978502797526,0.09263921701513556,0.11471761833196534,0.02315095571513045,Unstable across folds (std=0.1147),stad_numeric_graph_v1_cv5.json
graph,stad_numeric_graph_v1,cv5,GraphSAGE,0.14331520980157286,0.122510457898182,0.06114987848622388,0.06649192131129494,0.020804751903390862,Unstable across folds (std=0.0665),stad_numeric_graph_v1_cv5.json
graph,stad_numeric_graph_v1,groupcv,GAT,0.01347532415238104,-0.0026941377771023908,0.09942101722178663,0.11531682185876846,0.01616946192948343,Unstable across folds (std=0.1153),stad_numeric_graph_v1_groupcv.json
graph,stad_numeric_graph_v1,groupcv,GraphSAGE,0.08291275423935107,0.08457918121563923,0.05848292843051464,0.050670168850728836,-0.0016664269762881646,Unstable across folds (std=0.0507),stad_numeric_graph_v1_groupcv.json
graph,stad_numeric_graph_v1,scaffoldcv,GAT,0.07250188460781415,0.010621960892799551,0.15768441171138206,0.158982683468285,0.0618799237150146,Overfitting detected in 1 fold(s),stad_numeric_graph_v1_scaffoldcv.json
graph,stad_numeric_graph_v1,scaffoldcv,GraphSAGE,0.1448522980488226,0.12656265774221942,0.07624933442061273,0.18376422326519162,0.018289640306603173,Unstable across folds (std=0.1838),stad_numeric_graph_v1_scaffoldcv.json
graph,stad_numeric_smiles_graph_v1,cv5,GAT,-0.07468052192666222,-0.0656008378032013,0.16222327522522823,0.17461685559141976,-0.009079684123460918,Unstable across folds (std=0.1746),stad_numeric_smiles_graph_v1_cv5.json
graph,stad_numeric_smiles_graph_v1,cv5,GraphSAGE,0.18638315786805248,0.16868842366729736,0.06478253868117874,0.09838936103102154,0.017694734200755118,Unstable across folds (std=0.0984),stad_numeric_smiles_graph_v1_cv5.json
graph,stad_numeric_smiles_graph_v1,groupcv,GAT,0.09665823378588835,0.08447642414994505,0.04998790997324716,0.09184025031490056,0.012181809635943298,Unstable across folds (std=0.0918),stad_numeric_smiles_graph_v1_groupcv.json
graph,stad_numeric_smiles_graph_v1,groupcv,GraphSAGE,0.22980294678580104,0.23923526344537085,0.0191709724259132,0.01620978681299828,-0.009432316659569812,,stad_numeric_smiles_graph_v1_groupcv.json
graph,stad_numeric_smiles_graph_v1,scaffoldcv,GAT,0.03174317742577757,-0.042896456945090845,0.19717209445616807,0.11506049630554148,0.07463963437086842,Overfitting detected in 1 fold(s),stad_numeric_smiles_graph_v1_scaffoldcv.json
graph,stad_numeric_smiles_graph_v1,scaffoldcv,GraphSAGE,0.01597269721698413,0.011434382995792539,0.07966934851949796,0.09590335731224127,0.00453831422119159,Unstable across folds (std=0.0959),stad_numeric_smiles_graph_v1_scaffoldcv.json
ml,stad_numeric_context_smiles_ml_v1,cv5,CatBoost,0.9665336527549669,0.8578808752136771,0.0016596521034475667,0.014090713813583315,0.10865277754128984,,stad_numeric_context_smiles_ml_v1_cv5.json
ml,stad_numeric_context_smiles_ml_v1,cv5,ExtraTrees,1.0,0.8501376094475743,4.965068306494546e-17,0.01101377872846838,0.1498623905524255,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_cv5.json
ml,stad_numeric_context_smiles_ml_v1,cv5,LightGBM,0.9986207479491591,0.8571968535588788,5.96218093185892e-05,0.011621846696691793,0.1414238943902805,Overfitting detected in 2 fold(s),stad_numeric_context_smiles_ml_v1_cv5.json
