canonical_drug_id,mean_y_pred,mean_y_true,std_y_pred,n_pairs,pred_top5_rate,pred_top10_rate,pred_top20_rate,final_selection_score,drug_name,canonical_smiles,has_smiles,putative_target,pathway_name,drug__target_list,final_rank
1494,0.51843435,-2.5715032,0.85074466,18,0.0,0.1111111111111111,0.8333333333333334,0.8969387755102042,SN-38,CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,1,TOP1,DNA replication,,17
1088,0.40765727,3.3167453,1.039369,18,0.0,0.1111111111111111,0.7777777777777778,0.8967687074829932,Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,1,TOP1,DNA replication,,18
1006,0.6064668,2.1848328,0.8180885,14,0.0,0.0,1.0,0.8102040816326531,Cytarabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1,Antimetabolite,Other,,19
1862,0.6352768,-1.33323,0.71351016,18,0.0,0.0,0.7777777777777778,0.795748299319728,MG-132,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1,"Proteasome, CAPN1",Protein stability and degradation,,20
1401,0.6286097,3.014682,0.757005,12,0.0,0.0,0.6666666666666666,0.795578231292517,AZD5438,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,1,CDK2,Cell cycle,,21
1034,0.7636665,-2.9224744,1.0465046,18,0.0,0.0,0.6111111111111112,0.7918367346938776,Staurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1,Broad spectrum kinase inhibitor,RTK signaling,,22
1046,0.8389432,2.2859757,0.89665407,18,0.0,0.0,0.3333333333333333,0.786904761904762,Wee1 Inhibitor,C1=CC=C(C(=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O)Cl,1,"WEE1, CHEK1",Cell cycle,,23
1809,0.92493606,1.2098777,0.9347278,13,0.0,0.0,0.5384615384615384,0.7853741496598641,Teniposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,1,,DNA replication,,24
1039,0.84298205,5.140766,0.36515212,4,0.0,0.0,0.25,0.7829931972789117,SL0101,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,1,"RSK, AURKB, PIM1, PIM3","Other, kinases",,25
1922,1.0686071,2.6318545,0.74127245,18,0.0,0.0,0.4444444444444444,0.7816326530612245,Cediranib,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,1,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling,,26
1024,0.92769593,0.50567424,0.8623432,18,0.0,0.0,0.3333333333333333,0.7814625850340136,Lestaurtinib,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",,27
1054,1.2162116,4.4593596,0.8803732,18,0.0,0.0,0.2777777777777778,0.7772108843537415,Palbociclib,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,1,"CDK4, CDK6",Cell cycle,,28
1019,1.2968785,2.7279932,0.7435236,18,0.0,0.0,0.16666666666666666,0.7724489795918368,Bosutinib,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1,"SRC, ABL, TEC","Other, kinases",,29
1086,1.2730496,-0.52587056,0.77600443,18,0.0,0.0,0.1111111111111111,0.7722789115646259,BI-2536,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,1,"PLK1, PLK2, PLK3",Cell cycle,,30
