index,part,slide_id,source_file,tcga_case_id,best_cluster,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
53,part01,TCGA-A8-A07E-01Z-00-DX1.AC684481-979A-46F9-91D7-C56CE85992F2,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A07E-01Z-00-DX1.AC684481-979A-46F9-91D7-C56CE85992F2_20260430_v1.npy,TCGA-A8-A07E,C1,3.2021809,-23.768515,6.579316,12.197216,8.880716,-3.4240072,-6.3232403,0.53956276,0.36439633,2.0724642
54,part01,TCGA-A8-A07S-01Z-00-DX1.34AFF327-E7FD-49E1-B918-0C09129581FB,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A07S-01Z-00-DX1.34AFF327-E7FD-49E1-B918-0C09129581FB_20260430_v1.npy,TCGA-A8-A07S,C1,4.3834543,-28.039888,4.426682,14.979168,12.96019,1.0260738,-5.4711537,5.011669,0.22033548,-0.15764353
55,part01,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6_20260430_v1.npy,TCGA-A8-A07W,C1,3.945832,-28.890253,3.3672564,11.58101,9.712792,-1.3017532,-7.2217283,1.2654548,1.8946041,-0.68307406
56,part01,TCGA-A8-A083-01Z-00-DX1.AD121BA9-B5FA-4A03-869B-8FE2C5014CE0,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A083-01Z-00-DX1.AD121BA9-B5FA-4A03-869B-8FE2C5014CE0_20260430_v1.npy,TCGA-A8-A083,C1,10.154775,-22.693419,7.0934567,4.9924674,10.070914,-5.9752254,-9.787363,2.6845272,-4.9935255,5.36343
57,part01,TCGA-A8-A08C-01Z-00-DX1.0602211C-1098-4711-AA41-8F56B11DB36F,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A08C-01Z-00-DX1.0602211C-1098-4711-AA41-8F56B11DB36F_20260430_v1.npy,TCGA-A8-A08C,C1,4.2414694,-27.748491,2.8549485,15.282225,13.654522,-2.742613,-8.831724,-0.98544633,1.3867952,2.3092752
58,part01,TCGA-A8-A08J-01Z-00-DX1.4607286A-033B-4C44-8306-50DB9C596166,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A08J-01Z-00-DX1.4607286A-033B-4C44-8306-50DB9C596166_20260430_v1.npy,TCGA-A8-A08J,C1,7.8073287,-21.837461,4.9825964,5.8333597,9.497229,-1.7793295,-6.4938517,2.3995898,-0.7573584,1.0823617
59,part01,TCGA-A8-A08L-01Z-00-DX1.0FC652B1-336D-4198-93FE-58D2214866D3,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A08L-01Z-00-DX1.0FC652B1-336D-4198-93FE-58D2214866D3_20260430_v1.npy,TCGA-A8-A08L,C1,8.365048,-23.223495,-3.3388257,10.271478,10.761295,-3.4342601,-5.6013794,-6.7066517,2.9262395,2.281456
60,part01,TCGA-A8-A08P-01Z-00-DX1.431A1290-9CF4-4CE7-A9F0-13F9ADA46ADA,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A08P-01Z-00-DX1.431A1290-9CF4-4CE7-A9F0-13F9ADA46ADA_20260430_v1.npy,TCGA-A8-A08P,C1,2.4691699,-22.354437,-2.4434392,14.491938,11.329176,-3.888498,-7.128489,-2.0982673,2.9042215,0.4988817
61,part01,TCGA-A8-A091-01Z-00-DX1.1F38CADB-A093-416E-A8A8-31E61CD730BA,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A091-01Z-00-DX1.1F38CADB-A093-416E-A8A8-31E61CD730BA_20260430_v1.npy,TCGA-A8-A091,C1,4.2767453,-19.158745,2.8892355,9.596648,10.72932,-3.7351987,-9.248861,2.9943705,0.82597,1.6071326
62,part01,TCGA-A8-A097-01Z-00-DX1.4D06990E-E759-40F0-9106-59408CF350E5,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A097-01Z-00-DX1.4D06990E-E759-40F0-9106-59408CF350E5_20260430_v1.npy,TCGA-A8-A097,C1,1.0802505,-27.978247,3.4381473,15.056176,10.816672,-0.62756157,-5.102617,-3.2458959,4.4357595,2.0908136
